strategy_id,strategy_name,symbol,signal_date,score,entry_type,signal_open,signal_high,signal_low,signal_close,range_position_60,box_width_pct_20,breakout_above_box_ratio_20,dry_up_days_ratio_20,ret_1d_pct,volume_ratio_20,pullback_depth_pct,amount_ma20_yuan,box_stability_40,box_quality_60,box_quality_score,dry_up_score,pullback_stability_score,trigger_strength_score,name
box_rebound_v1,箱体反抽 V1,000027.SZ,2023-07-31,0.565631,box,19.332034,19.762911,18.499004,19.734186,0.830986,7.868383,-1.716738,0.55,2.080238,1.132425,7.868383,186390007.85,0.688873,0.733814,0.577107,0.888889,0.448035,0.369285,深圳能源
box_rebound_v1,箱体反抽 V1,000027.SZ,2023-12-28,0.631221,box,17.522349,18.211753,17.062746,18.211753,0.865385,6.309148,0.0,0.45,3.425775,2.620856,6.309148,91902160.2,0.867235,0.822215,0.734002,0.444444,0.561289,0.725546,深圳能源
box_rebound_v1,箱体反抽 V1,000027.SZ,2025-04-30,0.564352,box,18.486029,19.013364,16.962616,18.749697,0.824324,10.785824,-1.386749,0.55,2.728732,2.173064,10.785824,113409580.55,0.748686,0.734986,0.510624,0.888889,0.351006,0.600519,深圳能源
box_rebound_v1,箱体反抽 V1,000027.SZ,2025-06-26,0.551894,box,19.369735,19.639592,18.603215,19.309767,0.876792,5.27698,-1.679389,0.45,0.155521,1.412084,5.27698,129616097.2,0.855489,0.750595,0.759074,0.444444,0.509907,0.349263,深圳能源
box_rebound_v1,箱体反抽 V1,000027.SZ,2025-08-08,0.73077,box,19.669576,20.239274,19.459687,20.179306,0.897548,4.418262,-0.883652,0.55,2.435312,1.899696,4.418262,148242096.85,0.7316,0.782973,0.845073,0.888889,0.538386,0.6131,深圳能源
box_rebound_v1,箱体反抽 V1,000027.SZ,2025-08-18,0.57705,box,20.778988,21.288718,19.459687,20.898925,0.854853,8.591549,-1.830986,0.5,1.014493,1.919787,8.591549,165875647.35,0.740454,0.723661,0.631613,0.666667,0.513799,0.47101,深圳能源
box_rebound_v1,箱体反抽 V1,000028.SZ,2024-04-15,0.555093,box,45.324791,48.879964,43.174131,48.133816,0.930612,11.673152,-1.526489,0.7,6.922327,2.865014,11.673152,118526262.7,0.694722,0.60822,0.583648,0.444444,0.464981,0.728411,国药一致
box_rebound_v1,箱体反抽 V1,000030.SZ,2024-12-12,0.556274,box,11.043619,11.142047,10.019968,11.142047,0.888199,11.324042,-1.393728,0.6,1.433692,1.264885,11.324042,82796322.75,0.525549,0.475262,0.597807,0.888889,0.361833,0.394026,富奥股份
box_rebound_v1,箱体反抽 V1,000034.SZ,2022-07-18,0.643006,box,16.074332,16.917023,15.589785,16.917023,0.931067,8.529048,-0.741656,0.5,5.519054,1.926333,8.529048,150729265.25,0.760345,0.591258,0.627473,0.666667,0.539827,0.775501,神州数码
box_rebound_v1,箱体反抽 V1,000035.SZ,2023-09-27,0.52113,box,11.052402,11.439134,10.238228,11.337362,0.849206,10.498221,-0.88968,0.45,2.389706,2.16142,10.498221,87787959.5,0.720111,0.597085,0.539812,0.444444,0.485227,0.610002,中国天楹
