date,active_trades,portfolio_return,equity,drawdown
2022-04-11,1,-0.0301451432824712,0.9698548567175288,0.0
2022-04-12,1,0.00038372985418266836,0.9702270189802754,0.0
2022-04-13,2,-0.002589929238700328,0.9677141996556413,-0.0025899292387003836
2022-04-14,2,0.005585927858216211,0.9731197813622892,0.0
2022-04-15,2,0.0013217522658610648,0.974406004638259,0.0
2022-04-18,2,0.006861058387814145,0.9810914611295188,0.0
2022-04-19,3,0.007019716997713569,0.9879784455355213,0.0
2022-04-20,6,-0.012475831952145485,0.9756525924766781,-0.012475831952145522
2022-04-21,6,-0.022552374902823618,0.9536493094362324,-0.03474684721555965
2022-04-22,5,-0.007664332295721788,0.9463402242351274,-0.042144868127992785
2022-04-25,6,-0.024324201711063937,0.9233212537335387,-0.06544392956562528
2022-04-26,4,-9.432371500622816e-05,0.9232341626427424,-0.06553208036607017
2022-04-27,4,-0.00904686711909522,0.9148817858535043,-0.0739860874620557
2022-04-28,4,0.00325123414322398,0.917856280752685,-0.07097539941251196
2022-04-29,4,0.002470350843853608,0.9201237077903788,-0.0686803827064898
2022-05-05,5,-0.013874710034860894,0.9073572581485863,-0.08160217234621481
2022-05-06,5,-0.014022950851280535,0.8946334319130159,-0.09448081994532675
2022-05-09,4,-0.006716751517719,0.888624401451412,-0.10056296727228264
2022-05-10,4,-0.0011571672123246168,0.8875961144299808,-0.10160376631610579
2022-05-11,3,-0.009165392367037764,0.8794609477777718,-0.10983792029888761
2022-05-12,3,-0.00426297942261511,0.8757118238544016,-0.11363266292744567
2022-05-13,3,0.01837160052470166,0.8918000516570126,-0.09734867629260513
2022-05-16,3,-0.0069391055577846155,0.8856117569621268,-0.1036122691096848
2022-05-17,3,-0.00023457876947393283,0.8854040112459469,-0.10382254264056867
2022-05-18,3,-0.007091302792809599,0.8791253433082338,-0.11017760834679446
2022-05-19,3,0.005549926578657234,0.8840044244170312,-0.10523915940507411
2022-05-20,3,0.0027807184703953305,0.8864625918479189,-0.10275108140904532
2022-05-23,3,-0.005397470983275698,0.8816779357306603,-0.10759395641191549
2022-05-24,3,0.0034619431999344994,0.8847302546647954,-0.10450449737773526
2022-05-25,3,0.003946192088344791,0.8882215701960728,-0.10097070011013898
2022-05-26,1,0.005172413793103514,0.8928158196970871,-0.09632054855898442
2022-05-27,1,0.0017152658662091813,0.8943472361974251,-0.09477049804193305
2022-05-30,3,0.0012327461374378827,0.8954497392983758,-0.09365457986989933
2022-05-31,4,0.011585890111212804,0.9058243215780011,-0.08315376142947084
2022-06-01,7,-0.002372858373595862,0.9036749287515379,-0.08532930770396285
2022-06-02,10,-0.0023526612443514282,0.9015488877691721,-0.08748121799307185
2022-06-06,13,0.01809158805403581,0.9178593388572661,-0.07097230409743194
2022-06-07,21,0.003603174045537608,0.9211665458044909,-0.06762485561597031
2022-06-08,24,0.0038589960537098824,0.92472132386956,-0.0640268236132151
2022-06-09,31,-0.003416751602645175,0.9215617808042285,-0.06722481146366766
2022-06-10,31,0.012394263364806184,0.9329838602224558,-0.05566375011679159
2022-06-13,44,-0.010227612571610827,0.9234416627645347,-0.0653220554179249
2022-06-14,42,0.014819417591927463,0.9371265303868261,-0.05147067264319871
2022-06-15,42,0.002455534075240446,0.9394276765150028,-0.04914152655850923
2022-06-16,43,-0.01490115076823764,0.9254291230713976,-0.06331041203051713
2022-06-17,47,0.007455974204784365,0.9323290987413742,-0.05632647862472662
2022-06-20,48,-0.00012899978212383098,0.9322088284907688,-0.05644821230338004
2022-06-21,51,-0.0025250985058822653,0.9298549093707765,-0.05883077351271526
2022-06-22,51,-0.015191322499767238,0.9157291835645331,-0.07312837875914013
2022-06-23,50,0.009789233345125688,0.9246934702233878,-0.06405501617783849
2022-06-24,48,0.00827453396696319,0.9323448777517803,-0.056310507617993055
2022-06-27,51,0.009819508940580342,0.9415000466145682,-0.047043940210416246
2022-06-28,53,0.010980523405091487,0.9518382099123142,-0.036579983891873
2022-06-29,55,-0.013904119895037271,0.9386037373210157,-0.049975491305119246
2022-06-30,51,0.011590152899049008,0.949482298148185,-0.03896456199150167
2022-07-01,54,0.0017508988802683219,0.9511447456408473,-0.03728188611919436
2022-07-04,56,0.008843542249800213,0.9595562343845975,-0.028768047804441643
