date,active_trades,portfolio_return,equity,drawdown
2022-04-07,1,-0.0027472527472527,0.9972527472527472,0.0
2022-04-08,1,-0.0303030303030302,0.967032967032967,-0.0303030303030302
2022-04-11,1,-0.0085227272727271,0.9587912087912088,-0.0385674931129474
2022-04-13,1,-0.0077922077922076,0.951320108462966,-0.0460591749847945
2022-04-14,2,0.0112437400409741,0.9620165044582748,-0.0353333123338511
2022-04-15,2,-0.015134166514787,0.94745718648983,-0.0499327386162586
2022-04-18,1,0.014940752189593,0.9616129095234236,-0.0357380191004789
2022-04-19,2,0.0248688091644945,0.985527077460476,-0.0117579719129111
2022-04-20,2,-0.0117532727376664,0.9739439089287276,-0.0233730499998433
2022-04-21,2,-0.041554054054054,0.9334725910914866,-0.0639558590707958
2022-05-31,1,0.0238948626045403,0.955777790400722,-0.0415892129315074
2022-06-01,1,-0.0245040840140025,0.932357331126025,-0.06507419137776
2022-06-02,1,0.0,0.932357331126025,-0.06507419137776
2022-06-06,1,-0.0275119617224878,0.9067063519204048,-0.090795834437941
2022-06-08,1,0.0085470085470087,0.9144559788598956,-0.0830248586639061
2022-06-09,1,0.0118644067796607,0.9253054565751824,-0.0721454925802579
2022-06-10,1,-0.015075376884422,0.9113561280840992,-0.0861332489735202
2022-06-15,1,-0.0078947368421052,0.9041612112834352,-0.0933479864816241
2022-06-16,1,-0.0053050397877983,0.8993646000829927,-0.0981578114870266
2022-06-23,1,0.0036166365280287,0.9026172749476687,-0.0948961760855331
2022-06-24,1,0.0295045045045045,0.929248550402206,-0.0681915362358044
2022-06-27,1,-0.022480857580398,0.9083582460838228,-0.0891393896018968
2022-07-04,1,0.0068775790921595,0.9146055517652796,-0.0828748737119511
2022-07-05,2,0.0224357875897259,0.9351254476530696,-0.0622984491853517
2022-07-06,2,-0.006506758849356,0.9290408118712948,-0.0683998470491699
2022-07-07,2,0.012255643955476,0.9404268052816958,-0.0569824872657376
2022-07-08,3,-0.0017515026990598,0.9387796451939768,-0.0586341849845523
2022-07-11,3,-0.0094142763782257,0.929941714155868,-0.0674964629401213
2022-07-12,4,-0.0056198585140813,0.9247155732959697,-0.0727370008822784
2022-07-13,4,-0.0002492394156185,0.924485097726868,-0.0729681113703032
2022-07-14,4,-0.0144488134823729,0.9111273849825792,-0.0863626222213257
2022-07-15,4,-0.0122523881828931,0.8999638985777082,-0.0975568620322705
2022-07-18,2,0.018981018981019,0.9170461304188436,-0.0804275717012146
2022-07-19,3,0.0118500273672688,0.927913152161355,-0.0695306132596881
2022-07-20,3,0.0157040005717049,0.9424851008333892,-0.0549185214783644
2022-07-21,2,-0.0226761324387358,0.921113183865356,-0.0763493142507174
2022-07-22,2,0.0169244539921232,0.9367025215672236,-0.0607170307149603
2022-07-25,2,0.02524287306896,0.9603475844225198,-0.0370068299454622
2022-07-26,2,-0.0036404248589954,0.956851511202912,-0.0405125342207715
2022-07-27,1,-0.0040241448692152,0.953001002103504,-0.0443736507832632
2022-07-28,1,-0.008080808080808,0.9452999839046876,-0.052095883908247
2022-07-29,1,-0.0061099796334013,0.9395242202555756,-0.0578875587519849
2022-08-01,1,-0.0061475409836065,0.9337484566064632,-0.0636792335957227
2022-08-03,2,-0.0255452888774357,0.9098955825435914,-0.087597818055462
2022-08-04,2,0.0186261881760826,0.9268434688846344,-0.0706032433222948
2022-08-05,3,-0.0141527959748913,0.9137260423688496,-0.0837568059992802
2022-08-08,2,0.0162765269151138,0.9285983288905066,-0.0688435489913377
2022-08-09,2,0.0462695723105064,0.9715641764165214,-0.0257593382489979
2022-08-10,2,-0.0160382302563535,0.9559820064463288,-0.0413844343072626
2022-08-11,2,0.0030083777608531,0.9588579614542976,-0.038500556558225
2022-08-12,1,-0.0185950413223141,0.941027958038825,-0.0563796784404069
2022-08-23,1,0.0190476190476192,0.9589523000967076,-0.0384059580297478
2022-08-24,1,0.0,0.9589523000967076,-0.0384059580297478
2022-08-25,1,-0.0093457943925233,0.9499901290677664,-0.0473928182350772
2022-08-31,1,-0.0165061898211827,0.9343094116691238,-0.063116733202311
2022-09-01,1,-0.0181818181818183,0.9173219678205942,-0.0801509744168146
2022-10-13,1,0.0480081716036773,0.9613609182675482,-0.0359907045471417
2022-10-14,1,0.1003898635477582,1.057871809672575,0.0
2022-10-17,1,0.0726306465899027,1.1347057232183246,0.0
2022-10-18,1,-0.0115606936416183,1.1215877379788066,-0.0115606936416183
2022-11-08,1,-0.0064516129032257,1.1143516880563629,-0.0179377214245755
2022-11-09,1,-0.0129870129870129,1.0998795882114751,-0.0306917769904899
2022-11-10,1,-0.0098684210526316,1.0890255133278093,-0.0402573186649259
2022-11-11,1,-0.0033222591362125,1.0854074883665874,-0.0434458325564045
2022-11-14,1,-0.0166666666666666,1.0673173635604776,-0.0593884020137978
2022-11-15,1,0.0,1.0673173635604776,-0.0593884020137978
2022-11-16,1,0.0041220115416322,1.0717168580516585,-0.0555111901507056
2022-11-17,1,0.0098522167487684,1.0822756448304924,-0.0462058816792839
2022-11-18,1,0.0422764227642276,1.1280303875387734,-0.0058828783031236
2022-11-21,2,-0.0233735046299227,1.1016643640529422,-0.029118879449791
2022-11-22,1,0.0023923444976077,1.1042999247324947,-0.0267961973432115
2022-11-23,1,-0.0071599045346063,1.096393242693837,-0.0337642436629501
2022-11-24,1,0.0072115384615385,1.1042999247324945,-0.0267961973432118
2022-11-25,1,0.0023866348448686,1.106935485412047,-0.0244735152366323
2022-11-28,2,0.0150809716599189,1.1236291480969047,-0.0097616279664156
2022-11-29,2,0.0115022280986788,1.136553386856639,0.0
2022-11-30,3,-0.002807579060201,1.1333624233669,-0.0028075790602011
2022-12-01,3,-0.0011343631890013,1.1320767787540351,-0.0039387574348663
2022-12-02,3,-0.0016379310344828,1.1302225150646965,-0.0055702370563094
2022-12-05,2,0.0180395784731719,1.1506112528173518,0.0
2022-12-06,2,0.0089815877451225,1.160945568745056,0.0
2022-12-07,2,0.0007679738562091,1.1618371445903342,0.0
2022-12-08,3,0.0167134361675894,1.181255435543579,0.0
2022-12-09,3,-0.0035331838345885,1.1770818429341965,-0.0035331838345885
2022-12-12,1,0.0053533190578158,1.183383137596585,0.0
2022-12-13,1,0.0010649627263046,1.1846433965290628,0.0
2022-12-14,1,0.0223404255319146,1.2111088341110947,0.0
2022-12-15,1,-0.028990634755463,1.1759980202522653,-0.028990634755463
2022-12-16,1,0.0363128491620112,1.2187018589765095,0.0
2022-12-19,1,-0.0727762803234501,1.1300092708569254,-0.0727762803234501
2022-12-23,1,0.0072727272727273,1.138227520099521,-0.0660328350894388
2022-12-26,1,-0.0072202166064982,1.1300092708569254,-0.0727762803234501
2022-12-27,2,0.0184762129062646,1.1508875627313309,-0.0556446974669675
2022-12-28,2,-0.0177499006641312,1.1304594228172655,-0.0724069102785746
2022-12-29,1,-0.0191256830601092,1.1088386141841484,-0.0901477617213341
2023-01-11,1,-0.00161377084454,1.1070492027572778,-0.0916160547363077
2023-01-12,1,-0.003771551724138,1.102873909427913,-0.0950420717712463
2023-01-13,3,0.0001229538076195,1.1030095119744014,-0.094930803748235
2023-01-16,5,0.0024343225686498,1.105694592922836,-0.0927275733776096
2023-01-17,7,-0.0011445372937811,1.1044290842257038,-0.0937659805054982
2023-01-18,6,0.0063724768754388,1.1114670330254943,-0.0879910251725334
2023-01-19,7,0.0175629112596591,1.1309876298945578,-0.0719734924796259
2023-01-20,7,0.0040162283200883,1.1355299344434098,-0.06824632613833
2023-01-30,8,0.0062695641614934,1.1426492122246994,-0.0624046366973468
2023-01-31,10,0.0026280454234751,1.145652146257524,-0.0599405934937478
2023-02-01,9,0.0207981544680567,1.1694795965620486,-0.0403890927480811
2023-02-02,9,-0.0132859637259801,1.1539419330638514,-0.0531384484528849
2023-02-03,8,0.0027188251174597,1.1570792993755554,-0.0505640974837817
2023-02-06,8,-0.0075586574013075,1.1483333333654306,-0.0577405581954031
2023-02-07,6,0.0013925788941223,1.1499324781288929,-0.0564283875839584
2023-02-08,6,-0.0089600332502232,1.1396290448893462,-0.0648828206051728
2023-02-09,4,0.0056992900321933,1.146124121345282,-0.0595533165857152
2023-02-10,4,3.5873740851288805e-05,1.1461652371049944,-0.05951957924511
2023-02-13,4,-0.0008407115550263,1.1452016427461906,-0.0603102520021148
2023-02-14,3,0.0081173081958627,1.1544975974267695,-0.0526825007091233
2023-02-15,3,0.0031243412951108,1.1581046419455163,-0.0497227575265076
2023-02-16,2,-0.0225614531664353,1.1319761183044317,-0.0711623930277026
2023-02-17,2,-0.0027888446215139,1.128819212795216,-0.0737527767921673
2023-02-21,2,0.0021523571463526,1.1312488348948158,-0.0717591619620067
2023-02-22,4,0.0012943836316355,1.1327131048700103,-0.0705576622150346
2023-02-23,5,-0.0039657564719319,1.12822104054353,-0.0742436041813929
2023-02-24,4,-0.0019997879848277,1.1259648376624212,-0.0760949206986284
2023-02-27,2,0.0009815461197926,1.1270700240798517,-0.0751880652529835
2023-02-28,1,-0.0145156512293866,1.110709868699212,-0.0886123127505454
2023-03-01,3,-0.0083364408168082,1.1014505016141565,-0.0962100422664683
2023-03-02,10,0.0101373907594395,1.1126163357511996,-0.0870479703004661
2023-03-03,10,0.0150520408775901,1.129363482318001,-0.0733061790301501
2023-03-06,13,0.0016170871422575,1.1311897614841928,-0.07180763436745
2023-03-07,14,-0.0082199790505576,1.1218914053425877,-0.0794373561678372
2023-03-08,9,-0.0051574003713919,1.1161053621920125,-0.0841850662890266
2023-03-09,4,-0.0050392460279159,1.1104810326788506,-0.0888000830560357
2023-03-10,3,-0.010145972396439,1.0992141227745218,-0.0980450922609866
2023-03-13,2,0.0076163021229624,1.1075860696313995,-0.0911755311823576
