strategy_id,strategy_name,symbol,name,entry_type,signal_date,entry_date,exit_date,score,entry_price,exit_price,stop_price,final_stop_price,stop_source,hold_days,return_pct,max_favorable_excursion_pct,max_adverse_excursion_pct,exit_reason,signal_close,signal_low
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,600928.SH,西安银行,bottom_staging_handle_breakout_confirm,2024-04-29,2024-04-30,2024-05-07,0.595849,3.58,3.56,3.46,3.46,signal_low,3,-0.5586592178770999,0.8379888268156277,-1.3966480446927498,trend_exit_ma10,3.61,3.46
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,600938.SH,中国海油,bottom_staging_handle_breakout_confirm,2026-01-21,2026-01-22,2026-01-30,0.567543,30.85,35.793,29.11,35.793,peak_drawdown,7,16.022690437601295,19.611021069692057,-0.12965964343598646,stop_loss,30.56,29.11
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,600941.SH,中国移动,bottom_staging_handle_breakout_confirm,2023-03-01,2023-03-02,2023-03-07,0.460617,83.9,89.4,77.28,89.6,peak_drawdown,4,6.555423122765203,11.549463647199044,-0.47675804529202503,gap_stop,84.61,77.28
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,600959.SH,江苏有线,bottom_staging_handle_breakout_confirm,2023-04-19,2023-04-20,2023-04-21,0.519801,3.46,3.39,3.38,3.38,signal_low,2,-2.023121387283233,2.023121387283222,-2.023121387283233,trend_exit_ma10,3.47,3.38
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,600962.SH,国投中鲁,bottom_staging_handle_breakout_confirm,2023-02-02,2023-02-03,2023-02-08,0.468303,14.55,13.85,13.2,13.2,signal_low,4,-4.810996563573888,0.3436426116838476,-5.6357388316151225,trend_exit_ma10,14.65,13.2
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,600968.SH,海油发展,bottom_staging_handle_breakout_confirm,2022-11-07,2022-11-08,2022-11-14,0.484808,3.1,2.95,2.86,2.86,signal_low,5,-4.8387096774193505,1.2903225806451646,-5.161290322580648,trend_exit_ma10,3.09,2.86
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,600981.SH,苏豪汇鸿,bottom_staging_handle_breakout_confirm,2025-09-10,2025-09-11,2025-09-19,0.532114,3.19,3.04,3.04,3.04,signal_low,7,-4.702194357366773,3.7617554858934144,-5.642633228840133,stop_loss,3.18,3.04
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,601058.SH,赛轮轮胎,bottom_staging_handle_breakout_confirm,2023-08-24,2023-08-25,2023-08-25,0.607553,11.69,11.57,11.29,11.29,signal_low,1,-1.026518391787845,0.34217279726262984,-1.7964071856287345,trend_exit_ma10,11.73,11.29
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,601077.SH,渝农商行,bottom_staging_handle_breakout_confirm,2024-04-15,2024-04-16,2024-04-16,0.58558,4.64,4.59,4.53,4.53,signal_low,1,-1.0775862068965525,0.4310344827586299,-1.7241379310344862,trend_exit_ma10,4.65,4.53
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,601098.SH,中南传媒,bottom_staging_handle_breakout_confirm,2023-04-20,2023-04-21,2023-04-27,0.517531,12.66,13.22,11.46,13.22,peak_drawdown,5,4.423380726698256,12.164296998420209,-3.5545023696682443,stop_loss,12.73,11.46
