strategy_id,strategy_name,symbol,signal_date,score,entry_type,signal_open,signal_high,signal_low,signal_close,strategy_family,entry_variant,mcst_mode,base_start_date,base_end_date,first_breakout_date,handle_low_date,handle_prep_date,throwback_hold_date,second_breakout_date,base_length_days,base_width_pct,base_drift_pct,breakout_leg_pct,washout_count,base_dryup_count,base_dryup_tail_count,first_breakout_ratio_pct,first_breakout_vol_ratio,handle_length_days,handle_depth_pct,handle_bottom_dryup_flag,handle_volume_contraction_ratio,handle_range_contraction_ratio,handle_volume_contract_share,handle_range_contract_share,rim_approach_distance_pct,pullback_depth_pct,pullback_stability,pullback_vol_ratio_vs_breakout,throwback_reclaim_ratio,throwback_close_strength,throwback_day_pct,second_breakout_vol_ratio,second_breakout_day_pct,mcst_value_first,mcst_value_signal,mcst_distance_first_pct,mcst_distance_signal_pct,mcst_distance_second_pct,mcst_slope_first_pct,mcst_slope_signal_pct,mcst_slope_second_pct,rs_rating_120,ret_120d_pct,close_vs_ma120_pct,rsi14,name
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,002984.SZ,2024-04-12,0.536881,bottom_staging_handle_breakout_confirm,31.39,32.75,30.3,32.18,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2023-11-14,2024-03-27,2024-03-28,2024-04-10,2024-04-12,2024-04-12,2024-04-12,90,12.05166,7.346976,13.645357,3,18,6,1.422288,1.419462,8,4.257426,False,0.790338,1.28597,0.5,0.333333,0.0,4.257426,0.613252,0.664553,1.457364,0.61745,3.2403,1.332265,3.2403,31.075277,31.079353,1.656373,3.541408,3.541408,-0.091092,-0.39684,-0.39684,79.0,1.482182,7.857486,57.866245,森麒麟
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,003022.SZ,2025-07-08,0.628752,bottom_staging_handle_breakout_confirm,15.52,16.09,15.48,16.0,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2025-02-11,2025-06-23,2025-06-24,2025-07-04,2025-07-08,2025-07-08,2025-07-08,90,12.310238,4.364084,13.245557,3,29,6,0.832799,1.932492,9,1.679587,False,0.996753,1.369816,0.857143,0.571429,0.0,1.679587,0.714472,0.641439,2.0,0.844828,2.8939,1.742476,2.8939,15.328533,15.57993,2.684322,2.696225,2.696225,0.046226,0.691769,0.691769,57.0,19.402985,8.298973,62.156352,联泓新科
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,003023.SZ,2025-07-16,0.61022,bottom_staging_handle_breakout_confirm,19.87,20.69,19.65,20.29,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2025-02-10,2025-06-20,2025-06-23,2025-06-25,2025-06-27,2025-06-27,2025-07-16,90,8.847978,8.773418,11.408647,2,20,6,2.352519,1.577894,16,1.628499,False,0.921041,1.45026,1.0,0.0,0.0,1.628499,0.681785,0.683704,1.96875,0.863636,1.5523,1.742921,2.1652,19.652775,19.974619,1.614146,1.578906,1.578906,0.620659,-0.152554,-0.152554,54.0,13.288666,7.699249,58.045111,彩虹集团
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,300001.SZ,2023-04-20,0.553197,bottom_staging_handle_breakout_confirm,21.0,21.29,17.15,20.95,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2022-11-07,2023-03-20,2023-03-21,2023-04-06,,,2023-04-20,90,13.510734,6.463799,14.346317,3,27,12,0.736127,1.870216,20,3.731778,True,0.729518,0.813359,0.7,0.6,0.0,3.731778,0.596597,0.583504,,,,2.432282,-1.4118,17.359151,19.084013,2.481969,9.777752,9.777752,-3.260561,8.487848,8.487848,82.0,34.122919,24.855354,76.480005,特锐德
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,300045.SZ,2023-03-13,0.560817,bottom_staging_handle_breakout_confirm,8.46,9.06,8.1,8.9,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2022-10-11,2023-02-21,2023-02-22,2023-03-07,,,2023-03-13,90,20.475902,14.739529,27.614429,2,23,6,5.925274,1.473086,12,3.950617,False,0.76832,1.043524,0.75,0.5,0.0,3.950617,0.439321,0.572511,,,,1.527238,4.4601,8.106665,8.337864,3.865149,6.741966,6.741966,0.527556,1.196871,1.196871,72.0,11.949686,21.172239,67.376901,华力创通
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,300050.SZ,2023-04-19,0.584967,bottom_staging_handle_breakout_confirm,4.4,4.55,4.31,4.46,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2022-11-17,2023-03-30,2023-03-31,2023-04-18,,,2023-04-19,90,17.163774,15.048802,18.492408,4,28,7,1.133997,1.508381,11,1.392111,False,1.200859,1.070064,0.5,0.7,0.0,1.392111,0.510244,0.813576,,,,1.291244,1.3636,4.31512,4.421729,1.271807,0.865513,0.865513,0.821837,1.098766,1.098766,76.0,24.233983,10.770759,53.693472,世纪鼎利
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,300092.SZ,2025-07-01,0.557579,bottom_staging_handle_breakout_confirm,14.39,14.97,13.33,14.28,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2025-02-10,2025-06-20,2025-06-23,2025-06-27,2025-07-08,2025-07-08,2025-07-01,90,14.993063,9.304148,21.661464,4,31,8,5.798959,1.672375,5,5.251313,False,0.687383,1.295244,1.0,0.666667,0.0,5.251313,0.685365,0.697297,0.757143,0.966667,0.8734,1.551471,2.219,13.50436,13.732277,3.892375,3.988581,3.988581,4.568782,1.326251,1.326251,75.0,18.703242,16.156584,60.760938,科新机电
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,300126.SZ,2023-11-13,0.606603,bottom_staging_handle_breakout_confirm,7.05,7.24,6.98,7.24,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2023-06-20,2023-11-02,2023-11-03,2023-11-10,2023-11-13,2023-11-13,2023-11-13,90,12.15311,3.905522,12.91866,4,35,19,0.682594,1.644287,5,1.432665,False,0.740766,1.371549,0.75,0.5,0.0,1.432665,0.750171,0.5828,2.6,1.0,2.4045,1.021474,2.4045,6.859415,6.838007,3.215803,5.878797,5.878797,-2.030646,-0.030375,-0.030375,88.0,21.273032,10.101509,60.540398,锐奇股份
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,300148.SZ,2023-04-17,0.52537,bottom_staging_handle_breakout_confirm,4.75,4.81,3.69,4.66,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2022-11-17,2023-03-30,2023-03-31,2023-04-07,,,2023-04-17,90,13.341419,10.520095,18.556701,3,40,11,4.601391,1.523671,9,5.96206,False,0.81798,1.232,0.666667,0.333333,0.0,5.96206,0.354191,0.849909,,,,2.098264,-6.6132,3.735869,4.228896,4.661058,10.194254,10.194254,1.964265,11.227433,11.227433,91.0,49.358974,32.186082,66.396042,天舟文化
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,300163.SZ,2023-09-28,0.508388,bottom_staging_handle_breakout_confirm,3.49,3.6,3.32,3.58,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2023-04-26,2023-09-15,2023-09-18,2023-09-27,2023-09-28,2023-09-28,2023-09-28,90,9.270468,6.387849,10.226187,4,22,8,0.874636,1.301653,7,4.216867,False,1.380665,1.719163,0.5,0.5,0.0,4.216867,0.625866,0.903021,1.857143,0.857143,3.4682,2.015374,3.4682,3.387855,3.446312,2.129519,3.879165,3.879165,0.282481,1.158929,1.158929,88.0,4.373178,9.182403,62.469409,先锋新材
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,300166.SZ,2023-03-01,0.509704,bottom_staging_handle_breakout_confirm,9.64,10.27,9.18,10.16,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2022-09-30,2023-02-17,2023-02-20,2023-02-22,,,2023-03-01,90,17.032618,17.918583,23.23899,4,26,5,5.303112,1.594513,6,5.77342,False,0.873876,0.951412,1.0,1.0,0.0,5.77342,0.579666,0.606914,,,,1.38051,4.3121,9.336092,9.547033,4.004971,6.420499,6.420499,4.288694,1.723745,1.723745,81.0,19.6702,19.418189,62.254671,东方国信
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,300166.SZ,2023-03-22,0.536992,bottom_staging_handle_breakout_confirm,10.3,10.87,9.69,10.8,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2022-10-27,2023-03-09,2023-03-10,2023-03-16,2023-03-17,2023-03-17,2023-03-22,90,20.242965,10.028805,24.705591,3,29,7,3.71134,1.586393,7,3.818369,True,0.584239,0.744302,1.0,0.666667,0.0,3.818369,0.341491,0.542209,1.216216,0.785714,3.681,1.551224,4.8544,9.759902,9.945113,3.07481,8.596047,8.596047,1.307475,1.151434,1.151434,89.0,39.175258,23.598077,64.0882,东方国信
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,300182.SZ,2023-03-17,0.464921,bottom_staging_handle_breakout_confirm,5.65,5.93,5.32,5.83,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2022-10-26,2023-03-08,2023-03-09,2023-03-13,,,2023-03-17,90,20.342419,13.356067,26.830367,3,27,10,5.391239,2.151088,5,5.827068,False,1.015367,1.799437,1.0,0.0,0.0,5.827068,0.620589,0.557557,,,,2.035263,4.2934,5.404742,5.491223,4.167786,6.169422,6.169422,1.366804,1.318115,1.318115,77.0,17.540323,20.315751,63.70365,捷成股份
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,300228.SZ,2025-07-10,0.532131,bottom_staging_handle_breakout_confirm,7.97,8.36,7.66,8.2,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2025-02-19,2025-07-01,2025-07-02,2025-07-07,2025-07-08,2025-07-08,2025-07-10,90,18.514116,5.597689,20.356612,2,29,7,1.554664,1.630906,5,5.744125,False,0.732007,1.54461,1.0,0.5,0.0,5.744125,0.602822,0.418825,0.545455,0.882353,1.1524,1.266117,2.8858,7.806924,7.890735,3.754047,3.919343,3.919343,0.909915,0.875276,0.875276,50.0,12.947658,10.517094,61.672708,富瑞特装
