strategy_id,strategy_name,symbol,name,entry_type,signal_date,entry_date,exit_date,score,entry_price,exit_price,stop_price,hold_days,return_pct,max_favorable_excursion_pct,max_adverse_excursion_pct,exit_reason,signal_close,signal_low
cup_v1_legacy_mcst_6m,杯柄 V1 旧版复原+MCST 6月,301095.SZ,广立微,legacy_confirmed_cup,2026-01-09,2026-01-12,2026-01-26,0.710656,81.09,78.0,74.6028,11,-3.810580836108035,5.228758169934644,-6.042668639782967,trend_exit_ma10,79.34,70.21
cup_v1_legacy_mcst_6m,杯柄 V1 旧版复原+MCST 6月,601788.SH,光大证券,legacy_confirmed_cup,2022-11-15,2022-11-16,2022-11-21,0.648418,16.89,15.538800000000002,15.538800000000002,4,-7.9999999999999964,0.2368265245707546,-9.177027827116646,stop_loss,16.96,13.11
cup_v1_legacy_mcst_6m,杯柄 V1 旧版复原+MCST 6月,688315.SH,诺禾致源,legacy_confirmed_cup,2025-07-24,2025-07-25,2025-08-07,0.642247,15.95,16.31,14.674,10,2.2570532915360486,7.147335423197498,-1.253918495297801,trend_exit_ma10,15.95,12.73
