strategy_id,strategy_name,symbol,signal_date,score,entry_type,signal_open,signal_high,signal_low,signal_close,breakout_date,cup_depth_pct,handle_depth_pct,cup_days,handle_days,rim_gap_pct,breakout_ratio_pct,breakout_volume_ratio_20,confirmation_volume_ratio_20,confirmation_hold_buffer_pct,prior_runup_pct,consolidation_width_pct_60,rs_rating_120,ret_120d_pct,close_vs_ma120_pct,mcst_window,mcst_value,close_vs_mcst_pct,mcst_breakout_flag,fake_breakout_flag,base_shape_score,breakout_quality_score,confirmation_quality_score,trend_quality_score,name
cup_v1_legacy_mcst_6m,杯柄 V1 旧版复原+MCST 6月,301095.SZ,2026-01-09,0.710656,legacy_confirmed_cup,75.86,79.89,70.21,79.34,2026-01-07,12.999864,1.968724,96,5,2.914464,6.181375,2.259048,1.594002,1.070896,70.055325,27.167499,83.0,46.438587,4.69639,126,77.789516,1.993178,True,False,0.42464,1.0,0.883862,0.6763,广立微
cup_v1_legacy_mcst_6m,杯柄 V1 旧版复原+MCST 6月,601788.SH,2022-11-15,0.648418,legacy_confirmed_cup,15.27,16.96,13.11,16.96,2022-11-11,9.11641,5.274566,88,12,2.945302,5.820477,2.11591,2.646469,2.244039,35.809524,24.077329,86.0,33.068783,3.126014,126,15.73417,7.790881,True,False,0.205701,1.0,1.0,0.632114,光大证券
cup_v1_legacy_mcst_6m,杯柄 V1 旧版复原+MCST 6月,688315.SH,2025-07-24,0.642247,legacy_confirmed_cup,15.7,16.15,12.73,15.95,2025-07-22,19.459459,13.401361,63,18,0.675676,5.067568,1.215881,1.311168,4.121622,63.898117,20.337922,76.0,30.234506,4.720269,126,15.695475,1.621646,True,False,0.530684,0.779764,0.905584,0.402248,诺禾致源
