date,active_trades,portfolio_return,equity,drawdown
2022-11-16,1,-0.039668442865601,0.960331557134399,0.0
2022-11-17,1,0.0110974106041923,0.9709887507400828,0.0
2022-11-18,1,-0.0396341463414633,0.9325044404973356,-0.0396341463414633
2022-11-21,1,-0.0134095238095236,0.9200000000000002,-0.052512195121951
2025-07-25,1,0.0100313479623823,0.929228840125392,-0.0430076152611054
2025-07-28,1,0.010552451893234,0.9390344827586208,-0.0329089991589568
2025-07-29,1,0.0288697788697787,0.9661442006269592,-0.004989295817723
2025-07-30,1,-0.0214925373134328,0.9453793103448276,-0.0263746005046257
2025-07-31,1,-0.0042708968883465,0.9413416927899686,-0.0305328541937457
2025-08-01,1,-0.0018382352941177,0.9396112852664577,-0.0323149629176543
2025-08-04,1,0.0079803560466544,0.9471097178683384,-0.0245924917807172
2025-08-05,1,0.0006090133982945,0.9476865203761752,-0.0239984555394145
2025-08-06,1,0.0042604990870358,0.9517241379310342,-0.0198402018502946
2025-08-07,1,-0.0115151515151515,0.9407648902821312,-0.0311268904350489
2026-01-12,1,-0.0221975582685903,0.9198822068130496,-0.0526335077394872
2026-01-13,1,-0.0300163955101526,0.8922706586705971,-0.0810700350642448
2026-01-14,1,0.0174229619035235,0.9078166563642468,-0.0650595532931628
2026-01-15,1,0.006773162939297,0.9139654464968096,-0.0587270493090782
2026-01-16,1,0.0534399593805534,0.9628077228328286,-0.0084254610581417
2026-01-19,1,-0.0315700686829737,0.9324118168944986,-0.0397295373568242
2026-01-20,1,-0.0044792833146696,0.9282352802006822,-0.0440308608177119
2026-01-21,1,0.016747906511686,0.943781277894332,-0.02802037904663
2026-01-22,1,-0.0149969268592501,0.9296274590986212,-0.0425970863307493
2026-01-23,1,0.0039935105453638,0.9333399361597912,-0.038773687698849
2026-01-26,1,-0.0304536979490367,0.9049162836602076,-0.0680465834743347
