strategy_id,strategy_name,symbol,name,signal_date,score,entry_type,signal_open,signal_high,signal_low,signal_close,eligible_execution,ret_1d_pct,vol_ratio_20,box_quality_60,handle_quality_10,alpha_vs_hs300_10d_pct,diag_highwin_shared_cls_prob,diag_highwin_shared_reg_score,branch_trend_lgbm_cls_prob,branch_trend_lgbm_reg_score
dedicated_trend,趋势专属分支,600790.SH,轻纺城,2022-04-06,0.275361,trend,9.187841,9.570668,9.163915,9.498888,True,3.385417,1.797652,0.617006,0.218276,,,,0.275361,0.117766
dedicated_trend,趋势专属分支,300401.SZ,花园生物,2022-04-06,0.244255,trend,74.054393,76.560377,73.900965,76.151237,True,3.61865,1.847501,0.619051,0.065841,,,,0.244255,0.102534
dedicated_trend,趋势专属分支,000882.SZ,华联股份,2022-04-06,0.244093,trend,3.361377,3.472892,3.345446,3.44103,True,2.369668,1.69206,0.643443,0.180627,,,,0.244093,0.112156
dedicated_trend,趋势专属分支,600403.SH,大有能源,2022-04-07,0.205075,trend,13.234842,13.818072,13.077818,13.728344,True,4.258944,1.414577,0.280025,0.129836,,,,0.205075,0.10025
dedicated_trend,趋势专属分支,000893.SZ,亚钾国际,2022-04-07,0.157082,trend,56.662486,62.432814,55.912496,61.866496,True,9.007551,1.600273,0.245561,0.143089,,,,0.157082,0.082252
dedicated_trend,趋势专属分支,600486.SH,扬农化工,2022-04-08,0.277585,trend,324.979729,347.282517,321.512157,346.757127,True,7.878392,1.721593,0.531122,0.065812,,,,0.277585,0.116341
dedicated_trend,趋势专属分支,000628.SZ,高新发展,2022-04-08,0.276208,trend,11.789635,12.591168,11.749051,12.520146,True,6.287683,2.167652,0.461026,0.282267,,,,0.276208,0.107654
dedicated_trend,趋势专属分支,600018.SH,上港集团,2022-04-08,0.270876,trend,8.70621,8.97606,8.677805,8.905047,True,2.117264,1.472427,0.588307,0.203992,,,,0.270876,0.117576
dedicated_trend,趋势专属分支,000498.SZ,山东路桥,2022-04-11,0.190351,trend,10.118894,10.864497,9.884562,10.811239,True,9.492988,2.624138,0.326278,0.21372,,,,0.190351,0.098919
dedicated_trend,趋势专属分支,601010.SH,文峰股份,2022-04-12,0.280177,trend,16.575079,17.241892,16.289302,17.241892,True,4.624277,2.391353,0.636637,0.144123,,,,0.280177,0.119337
dedicated_trend,趋势专属分支,600628.SH,新世界,2022-04-12,0.277416,trend,8.902904,9.430744,8.668308,9.407284,True,5.526316,4.01343,0.47608,0.045,,,,0.277416,0.12054
dedicated_trend,趋势专属分支,601156.SH,东航物流,2022-04-12,0.274906,trend,21.5,22.88,21.45,22.7,True,4.224059,2.537748,0.515785,0.200749,,,,0.274906,0.117495
dedicated_trend,趋势专属分支,600408.SH,安泰集团,2022-04-14,0.251469,trend,3.77,3.97,3.75,3.96,True,4.485488,1.886008,0.358376,0.075,,,,0.251469,0.117505
dedicated_trend,趋势专属分支,600639.SH,浦东金桥,2022-04-14,0.22399,trend,18.732711,20.497011,18.732711,20.302419,True,7.931034,1.545423,0.350092,0.132532,,,,0.22399,0.099026
dedicated_trend,趋势专属分支,601003.SH,柳钢股份,2022-04-14,0.203432,trend,8.318121,8.726015,8.245283,8.653177,True,4.393673,1.754589,0.445428,0.12,,,,0.203432,0.099809
dedicated_trend,趋势专属分支,601128.SH,常熟银行,2022-04-15,0.243286,trend,9.003788,9.668648,8.969982,9.578498,True,5.459057,1.514849,0.528301,0.14315,,,,0.243286,0.112816
dedicated_trend,趋势专属分支,601009.SH,南京银行,2022-04-15,0.240847,trend,59.668598,63.987773,59.668598,63.454542,True,5.309735,1.517869,0.480991,0.105,,,,0.240847,0.112512
dedicated_trend,趋势专属分支,600929.SH,雪天盐业,2022-04-18,0.23698,trend,7.31143,7.803644,7.239649,7.803644,True,5.255878,3.121754,0.600218,0.030143,,,,0.23698,0.107524
dedicated_trend,趋势专属分支,300498.SZ,温氏股份,2022-04-18,0.235783,trend,43.981836,46.244108,43.10546,46.203346,True,5.73694,1.474352,0.569813,0.230075,,,,0.235783,0.096658
dedicated_trend,趋势专属分支,002507.SZ,涪陵榨菜,2022-04-18,0.224632,trend,191.606402,207.768664,190.491763,206.431097,True,7.331208,1.94855,0.511917,0.210997,,,,0.224632,0.10711
dedicated_trend,趋势专属分支,002661.SZ,克明食品,2022-04-19,0.241567,trend,41.338367,43.53425,41.338367,43.220552,True,3.939648,1.707239,0.590353,0.105,,,,0.241567,0.107524
dedicated_trend,趋势专属分支,002109.SZ,兴化股份,2022-04-19,0.240205,trend,9.215952,9.789955,9.215952,9.710233,True,5.181347,2.086365,0.529239,0.139738,,,,0.240205,0.116965
dedicated_trend,趋势专属分支,300796.SZ,贝斯美,2022-04-19,0.234385,trend,19.790706,20.887953,19.639709,20.716823,True,4.467005,1.719755,0.593129,0.046036,,,,0.234385,0.104361
dedicated_trend,趋势专属分支,603043.SH,广州酒家,2022-04-20,0.282731,trend,33.919171,36.650325,33.478663,36.54754,True,8.123371,2.809541,0.494836,0.09,16.999417,,,0.282731,0.119259
dedicated_trend,趋势专属分支,002726.SZ,龙大美食,2022-04-20,0.272039,trend,47.013291,49.152373,46.641277,48.919864,True,3.036239,1.818186,0.443724,0.128991,14.110993,,,0.272039,0.119708
dedicated_trend,趋势专属分支,600792.SH,云煤能源,2022-04-20,0.153652,trend,9.54,10.1,9.3,10.1,True,3.061224,1.696386,0.266255,0.15,24.195906,,,0.153652,0.077809
dedicated_trend,趋势专属分支,600734.SH,实达集团,2022-04-22,0.202556,trend,11.393496,11.742276,10.928455,11.742276,True,4.989605,4.280555,0.25,0.195,67.520737,,,0.202556,0.095897
dedicated_trend,趋势专属分支,603605.SH,珀莱雅,2022-04-26,0.23045,trend,190.613386,204.796234,190.316416,202.819852,True,6.022162,2.561636,0.535017,0.233695,16.19509,,,0.23045,0.106311
dedicated_trend,趋势专属分支,002737.SZ,葵花药业,2022-04-26,0.189084,trend,71.298796,82.793908,69.649708,82.114872,True,9.085052,3.595944,0.460033,0.135,17.856911,,,0.189084,0.088411
dedicated_trend,趋势专属分支,300012.SZ,华测检测,2022-04-27,0.20882,trend,406.956201,436.979148,406.956201,435.816969,True,5.683419,1.872066,0.493877,0.170495,19.99631,,,0.20882,0.112637
dedicated_trend,趋势专属分支,688363.SH,华熙生物,2022-04-27,0.190432,trend,125.48837,130.407514,124.474424,130.407514,True,3.341289,1.597709,0.512966,0.06,32.630655,,,0.190432,0.084627
dedicated_trend,趋势专属分支,300575.SZ,中旗股份,2022-04-27,0.181825,trend,73.428554,78.707731,70.069078,78.397191,True,2.359012,1.312325,0.24589,0.080286,19.803787,,,0.181825,0.086958
