strategy_id,strategy_name,symbol,name,signal_date,score,entry_type,signal_open,signal_high,signal_low,signal_close,eligible_execution,ret_1d_pct,vol_ratio_20,box_quality_60,handle_quality_10,alpha_vs_hs300_10d_pct,diag_highwin_shared_cls_prob,diag_highwin_shared_reg_score,branch_trend_lgbm_cls_prob,branch_trend_lgbm_reg_score
both_highwin_highwin_exec,双入口高胜率执行,688186.SH,广大特材,2025-01-16,0.214363,box,18.945277,19.682448,16.007127,19.608731,True,3.329634,1.08371,0.319003,0.194357,18.222925,0.214363,0.104348,,
both_highwin_highwin_exec,双入口高胜率执行,301027.SZ,华蓝集团,2025-01-16,0.211941,box,16.539024,17.357388,14.083934,17.175529,True,4.102878,1.259264,0.282351,0.141455,10.485,0.211941,0.099273,,
both_highwin_highwin_exec,双入口高胜率执行,301498.SZ,乖宝宠物,2025-01-16,0.211941,box,84.609274,88.628214,68.291771,88.235386,True,3.852993,1.238233,0.276781,0.094556,11.649016,0.211941,0.09217,,
both_highwin_highwin_exec,双入口高胜率执行,688252.SH,天德钰,2025-01-17,0.214363,box,24.762815,27.203936,21.819405,26.902563,True,7.7666,1.918806,0.517057,0.084337,21.242486,0.214363,0.089442,,
both_highwin_highwin_exec,双入口高胜率执行,688279.SH,峰岹科技,2025-01-17,0.211941,box,190.532496,194.130901,148.063185,193.063577,True,1.215028,1.112273,0.256467,0.044984,27.433043,0.211941,0.088757,,
both_highwin_highwin_exec,双入口高胜率执行,688597.SH,煜邦电力,2025-01-17,0.211941,box,14.674,15.532043,12.507076,15.502957,True,5.335968,1.643719,0.60854,0.06,14.884758,0.211941,0.096558,,
both_highwin_highwin_exec,双入口高胜率执行,301323.SZ,新莱福,2025-01-20,0.214363,box,40.869114,41.567818,35.238978,41.213403,True,1.673745,1.367572,0.52326,0.278734,11.476271,0.214363,0.097773,,
both_highwin_highwin_exec,双入口高胜率执行,301379.SZ,天山电子,2025-01-20,0.214363,box,30.759524,31.965495,25.892051,31.907376,True,4.921166,1.706531,0.539332,0.173037,16.963817,0.214363,0.104331,,
both_highwin_highwin_exec,双入口高胜率执行,300436.SZ,广生堂,2025-01-20,0.211941,box,70.932857,74.114702,58.752672,72.675779,True,2.019915,1.11008,0.25584,0.212939,13.36205,0.211941,0.089356,,
both_highwin_highwin_exec,双入口高胜率执行,688696.SH,极米科技,2025-01-21,0.214363,box,147.594366,155.595428,131.765238,154.182628,True,4.463762,1.182005,0.294757,0.251884,3.891192,0.214363,0.107009,,
both_highwin_highwin_exec,双入口高胜率执行,000063.SZ,中兴通讯,2025-01-21,0.211941,box,101.173757,106.859879,82.105641,105.09522,True,5.902692,1.206587,0.274299,0.06,20.065629,0.211941,0.080257,,
both_highwin_highwin_exec,双入口高胜率执行,603809.SH,豪能股份,2025-01-21,0.211941,box,83.125839,87.619127,65.274125,87.315527,True,6.360947,1.440529,0.272895,0.124511,25.734286,0.211941,0.084313,,
both_highwin_highwin_exec,双入口高胜率执行,688377.SH,迪威尔,2025-01-22,0.214363,box,20.24634,21.155824,18.706419,21.155824,True,4.652352,1.108115,0.214396,0.438482,5.200915,0.214363,0.11039,,
both_highwin_highwin_exec,双入口高胜率执行,002837.SZ,英维克,2025-01-22,0.211941,box,358.23386,385.357281,307.228182,382.030823,True,7.461612,1.201083,0.312447,0.149215,15.381215,0.211941,0.095666,,
both_highwin_highwin_exec,双入口高胜率执行,301291.SZ,明阳电气,2025-01-22,0.211941,box,50.123296,54.010409,41.13179,53.059089,True,6.356367,1.09644,0.311442,0.120524,5.0071,0.211941,0.086241,,
both_highwin_highwin_exec,双入口高胜率执行,688686.SH,奥普特,2025-01-23,0.211941,box,124.408496,129.886172,95.002023,127.594955,True,3.661243,1.256845,0.220207,0.227353,27.029131,0.211941,0.087344,,
