strategy_id,strategy_name,symbol,signal_date,score,entry_type,signal_open,signal_high,signal_low,signal_close,base_shape_score,cup_depth_pct,handle_depth_pct,close_vs_ma60_pct,ma20_slope_pct,box_width_pct_20,box_stability_40,box_quality_60,handle_quality_10,breakout_ratio_pct,volume_ratio_20,ret_1d_pct,alpha_vs_hs300_10d_pct,amount_ma20_yuan,trend_strength_score,box_quality_score,volume_confirm_score,structure_confirm_score,name
cup_v2_trend_scored,杯柄 V2 趋势增强,601211.SH,2025-07-28,0.608245,trend_cup,27.429446,27.935426,24.966421,27.682436,0.750941,24.001971,6.308526,13.363604,1.277811,10.393035,0.525592,0.595186,0.290149,3.883862,2.11259,2.869866,4.654974,2027637173.25,0.457704,0.49756,1.0,0.359964,国泰海通
cup_v2_trend_scored,杯柄 V2 趋势增强,601228.SH,2024-03-29,0.565334,trend_cup,3.606252,3.842375,3.434525,3.810176,0.561949,15.407855,-0.31348,13.358169,1.74437,14.24581,0.562352,0.578962,0.201955,7.250755,2.731735,5.654762,12.195876,98712155.75,0.515722,0.426176,1.0,0.415636,广州港
cup_v2_trend_scored,杯柄 V2 趋势增强,601233.SH,2023-02-13,0.57146,trend_cup,50.098564,51.814051,47.271188,51.401064,0.756497,25.063291,2.872063,10.041827,2.02111,13.488657,0.462642,0.613915,0.269361,2.405063,1.642029,3.254627,6.782226,263986307.55,0.366074,0.443774,0.789643,0.517954,桐昆股份
cup_v2_trend_scored,杯柄 V2 趋势增强,601279.SH,2023-11-28,0.603576,trend_cup,6.119314,6.539954,5.808841,6.449817,0.777323,15.196078,4.761905,9.427657,0.985752,11.179173,0.617838,0.63214,0.198395,5.228758,2.415402,4.376013,7.869258,55048362.85,0.202533,0.599335,1.0,0.582748,英利汽车
cup_v2_trend_scored,杯柄 V2 趋势增强,601318.SH,2023-01-11,0.607679,trend_cup,130.765234,134.727816,128.123512,133.9353,0.590344,26.025139,0.061817,16.962212,1.636391,12.588235,0.305881,0.406125,0.221173,4.471461,1.752076,3.02784,8.090469,2630445521.7,0.70245,0.323462,0.900692,0.549668,中国平安
cup_v2_trend_scored,杯柄 V2 趋势增强,601318.SH,2025-12-12,0.588992,trend_cup,191.461085,196.143557,189.747239,195.592678,0.747405,13.901007,-0.016132,10.186467,1.240672,9.268217,0.639591,0.672679,0.271216,3.097274,1.903467,2.206941,7.141093,3481658369.95,0.276554,0.518895,0.951156,0.560117,中国平安
cup_v2_trend_scored,杯柄 V2 趋势增强,601318.SH,2026-01-06,0.574819,trend_cup,221.575808,229.165697,190.145096,227.451851,0.678367,15.815827,2.003155,20.52772,4.419958,17.200855,0.047942,0.342901,0.204062,17.223975,1.787977,2.708679,3.230824,5594560025.8,0.804016,0.174787,0.912659,0.164256,中国平安
cup_v2_trend_scored,杯柄 V2 趋势增强,601319.SH,2024-08-30,0.581563,trend_cup,6.754568,6.973572,6.212819,6.91594,0.534984,11.672474,3.340792,12.801048,1.367892,11.639344,0.458103,0.568573,0.2878,7.598376,2.223355,3.092784,7.675253,334750479.75,0.437711,0.530391,1.0,0.579127,中国人保
cup_v2_trend_scored,杯柄 V2 趋势增强,601333.SH,2024-04-03,0.566245,trend_cup,3.914482,4.094163,3.760469,4.068494,0.763788,22.468354,2.980132,11.645926,1.112062,11.598746,0.477122,0.553862,0.352879,0.316456,2.007074,3.934426,8.68147,180820657.5,0.341559,0.418855,0.650248,0.67044,广深铁路
cup_v2_trend_scored,杯柄 V2 趋势增强,601336.SH,2023-01-11,0.573005,trend_cup,38.187157,39.239276,37.421979,38.796908,0.551984,26.969891,-0.256246,16.527516,1.947709,14.625229,0.282536,0.382999,0.194827,3.939782,1.242599,2.333649,7.835584,299650759.25,0.717214,0.329412,0.730866,0.516866,新华保险
cup_v2_trend_scored,杯柄 V2 趋势增强,601369.SH,2024-04-15,0.564404,trend_cup,20.620175,21.891904,19.303027,21.687519,0.411816,28.932262,2.411022,17.60601,1.730461,12.863071,0.207292,0.305666,0.283804,9.644087,2.837596,5.176211,9.478744,123666301.0,0.68264,0.289374,1.0,0.575652,陕鼓动力
cup_v2_trend_scored,杯柄 V2 趋势增强,601369.SH,2024-11-21,0.660104,trend_cup,21.908457,23.195761,21.325526,22.904295,0.679816,22.768351,1.899441,16.208489,2.09622,13.089005,0.271895,0.414,0.285224,5.363128,2.424549,4.777778,8.086682,163572926.5,0.718055,0.359206,1.0,0.570568,陕鼓动力
cup_v2_trend_scored,杯柄 V2 趋势增强,601377.SH,2025-07-24,0.595752,trend_cup,17.787128,18.94178,16.165118,18.721846,0.699665,17.665131,9.119011,12.462843,1.581059,11.030479,0.530156,0.616725,0.301245,4.608295,2.847121,5.092593,4.457305,610064290.7,0.445568,0.529863,1.0,0.353853,兴业证券
cup_v2_trend_scored,杯柄 V2 趋势增强,601377.SH,2025-08-15,0.603652,trend_cup,18.804321,19.585509,16.165118,19.278614,0.7562,17.156105,9.119011,11.832748,1.663352,10.866613,0.541012,0.582348,0.237852,8.385197,1.833108,2.37037,4.917284,782049325.5,0.420849,0.570635,0.927703,0.360739,兴业证券
cup_v2_trend_scored,杯柄 V2 趋势增强,601390.SH,2024-04-15,0.665024,trend_cup,8.971284,9.722185,8.879068,9.66949,0.859106,22.463768,2.318841,14.025322,1.803858,13.279133,0.442335,0.491282,0.300945,6.376812,2.042107,7.941176,6.984281,924319828.65,0.560222,0.377767,0.997369,0.511925,中国中铁
cup_v2_trend_scored,杯柄 V2 趋势增强,601528.SH,2023-02-21,0.666462,trend_cup,7.77974,7.973978,6.972119,7.933086,0.864482,21.560847,8.086253,14.112053,2.769669,13.231552,0.198137,0.479014,0.215186,2.645503,1.338389,3.191489,8.225766,164605066.45,0.685767,0.36634,0.718484,0.576242,瑞丰银行
cup_v2_trend_scored,杯柄 V2 趋势增强,601528.SH,2025-06-03,0.621964,trend_cup,8.23676,8.58664,7.784831,8.513748,0.666893,18.549747,2.018349,13.56431,2.650358,15.888243,0.351489,0.523922,0.188618,2.374874,2.125408,3.730018,9.807103,107363761.1,0.640423,0.330628,0.921859,0.577033,瑞丰银行
cup_v2_trend_scored,杯柄 V2 趋势增强,601555.SH,2025-06-20,0.661889,trend_cup,12.124509,12.550928,11.826016,12.465644,0.775839,18.752805,0.71599,13.161331,2.914232,14.287899,0.408807,0.516262,0.216748,4.653938,1.617794,2.573099,8.4567,522453184.85,0.65102,0.397597,0.855931,0.603342,东吴证券
cup_v2_trend_scored,杯柄 V2 趋势增强,601598.SH,2023-05-04,0.562813,trend_cup,5.332113,5.555263,5.050239,5.496539,0.59102,15.990991,3.153153,11.92602,2.109753,12.896406,0.536722,0.602489,0.229091,5.405405,1.683339,2.407002,5.728328,168822893.25,0.481831,0.502138,0.87778,0.423974,中国外运
