strategy_id,strategy_name,symbol,signal_date,score,entry_type,signal_open,signal_high,signal_low,signal_close,strategy_family,entry_variant,mcst_mode,base_start_date,base_end_date,first_breakout_date,handle_low_date,handle_prep_date,throwback_hold_date,second_breakout_date,base_length_days,base_width_pct,base_drift_pct,breakout_leg_pct,washout_count,base_dryup_count,base_dryup_tail_count,first_breakout_ratio_pct,first_breakout_vol_ratio,handle_length_days,handle_depth_pct,handle_bottom_dryup_flag,handle_volume_contraction_ratio,handle_range_contraction_ratio,handle_volume_contract_share,handle_range_contract_share,rim_approach_distance_pct,pullback_depth_pct,pullback_stability,pullback_vol_ratio_vs_breakout,throwback_reclaim_ratio,throwback_close_strength,throwback_day_pct,second_breakout_vol_ratio,second_breakout_day_pct,mcst_value_first,mcst_value_signal,mcst_distance_first_pct,mcst_distance_signal_pct,mcst_distance_second_pct,mcst_slope_first_pct,mcst_slope_signal_pct,mcst_slope_second_pct,rs_rating_120,ret_120d_pct,close_vs_ma120_pct,rsi14,name
cup_v3_handle_prep,杯柄 V3 柄底预备,601601.SH,2025-08-05,0.544782,bottom_staging_handle_prep,58.334233,59.087135,57.408791,58.89891,cup_v3_bottom_staging,handle_prep,rolling_1m,2025-01-21,2025-07-22,2025-07-23,2025-08-04,2025-08-05,2025-08-05,2025-08-14,120,22.669762,17.155876,25.033959,3,26,8,1.927286,1.965161,8,1.502732,True,0.700199,0.870488,0.714286,0.571429,0.319574,1.502732,0.497992,0.583647,1.727273,0.793103,1.158405,1.407329,4.872881,57.619587,58.618156,1.131392,0.478953,5.268393,1.448931,0.659678,0.529983,64.0,20.273546,13.962512,55.053358,中国太保
cup_v3_handle_prep,杯柄 V3 柄底预备,601686.SH,2025-07-02,0.602174,bottom_staging_handle_prep,6.920455,7.087213,6.741786,7.075302,cup_v3_bottom_staging,handle_prep,rolling_1m,2024-12-19,2025-06-20,2025-06-23,2025-07-01,2025-07-02,2025-07-02,2025-07-02,120,13.61367,7.357453,14.953093,5,51,13,1.178928,1.677757,6,1.943463,False,1.217018,1.50687,0.4,0.4,0.0,1.943463,0.70392,0.721949,2.545455,0.944444,2.237522,2.016247,2.237522,6.760791,6.833249,1.656891,3.542291,3.542291,-0.039219,0.8309,0.8309,57.0,9.821938,9.711239,64.336152,友发集团
cup_v3_handle_prep,杯柄 V3 柄底预备,601811.SH,2024-10-25,0.584993,bottom_staging_handle_prep,19.252318,19.648351,18.306949,19.635576,cup_v3_bottom_staging,handle_prep,rolling_1m,2024-04-10,2024-10-09,2024-10-10,2024-10-16,2024-10-25,2024-10-25,,120,8.990826,2.6863,10.458716,4,34,6,1.346801,1.851667,10,5.024424,False,1.024709,1.069765,0.666667,0.666667,0.520494,5.024424,0.497252,0.584274,1.444444,0.973684,1.788079,,,18.83686,19.09044,2.069915,2.855545,,2.841545,0.854849,,52.0,11.868068,7.310893,58.07278,新华文轩
cup_v3_handle_prep,杯柄 V3 柄底预备,601825.SH,2024-02-29,0.562166,bottom_staging_handle_prep,7.249862,7.457661,7.226773,7.446116,cup_v3_bottom_staging,handle_prep,rolling_1m,2023-08-16,2024-02-08,2024-02-19,2024-02-28,2024-02-29,2024-02-29,2024-03-20,120,10.458554,7.037755,12.522046,2,30,8,1.868114,1.254602,7,1.916933,False,0.763751,0.81987,0.5,0.333333,0.0,1.916933,0.648738,0.544911,1.583333,0.95,2.54372,1.09663,1.419558,7.27087,7.257386,1.298819,2.600528,0.660816,-0.180736,0.094935,1.64051,86.0,8.221477,7.918183,57.511899,沪农商行
cup_v3_handle_prep,杯柄 V3 柄底预备,601827.SH,2024-04-29,0.522858,bottom_staging_handle_prep,8.333635,8.452379,8.247276,8.452379,cup_v3_bottom_staging,handle_prep,rolling_1m,2023-10-19,2024-04-16,2024-04-17,2024-04-25,2024-04-29,2024-04-29,2024-04-30,120,7.584115,5.162921,8.246001,4,34,14,0.615227,1.254872,7,2.748691,False,1.078577,0.76859,0.6,0.4,0.383142,2.748691,0.647265,0.855337,0.904762,1.0,1.162791,2.479349,4.214559,8.406545,8.386834,0.802029,0.781518,4.57837,0.470287,-0.21902,0.222154,75.0,0.642674,3.241402,53.396444,三峰环境
cup_v3_handle_prep,杯柄 V3 柄底预备,601899.SH,2025-06-10,0.609918,bottom_staging_handle_prep,37.297288,38.297439,36.734704,38.068238,cup_v3_bottom_staging,handle_prep,rolling_1m,2024-11-19,2025-05-20,2025-05-21,2025-06-09,2025-06-10,2025-06-10,2025-06-12,120,15.192159,12.109408,19.228785,4,29,15,3.504254,1.792839,12,4.878049,False,1.336877,0.971131,0.545455,0.545455,1.313629,4.878049,0.575477,0.547001,0.744186,0.770833,1.669449,1.591353,4.287245,37.256441,37.476762,3.409341,1.578248,7.315179,0.470457,0.348477,0.965894,80.0,16.443595,8.32444,56.064902,紫金矿业
cup_v3_handle_prep,杯柄 V3 柄底预备,601916.SH,2024-05-16,0.52305,bottom_staging_handle_prep,3.696879,3.746836,3.684389,3.734347,cup_v3_bottom_staging,handle_prep,rolling_1m,2023-11-01,2024-04-29,2024-04-30,2024-05-09,2024-05-16,2024-05-16,2024-05-20,120,18.7251,17.703096,19.521912,3,33,10,0.671141,1.2183,8,1.694915,False,0.903149,1.011106,0.666667,0.666667,1.003344,1.694915,0.814982,0.681292,0.8,0.75,1.013514,1.545832,0.996678,3.718981,3.712857,0.749006,0.578806,2.08328,-0.142625,-0.129121,0.106814,91.0,18.650794,9.313591,55.426646,浙商银行
cup_v3_handle_prep,杯柄 V3 柄底预备,601939.SH,2024-06-07,0.657231,bottom_staging_handle_prep,14.966279,15.177072,14.755487,15.177072,cup_v3_bottom_staging,handle_prep,rolling_1m,2023-11-14,2024-05-15,2024-05-16,2024-05-30,2024-06-07,2024-06-07,2024-06-20,120,12.087912,11.870428,12.55887,3,29,8,0.420168,1.694122,15,2.428571,False,0.843283,0.973177,0.555556,0.555556,0.0,2.428571,0.838657,0.589538,1.176471,1.0,1.551481,1.209807,0.556328,15.072716,14.960314,0.272801,1.448888,1.654321,0.062595,-0.038623,0.084797,90.0,14.467409,4.673984,60.836885,建设银行
cup_v3_handle_prep,杯柄 V3 柄底预备,601939.SH,2024-06-19,0.534261,bottom_staging_handle_prep,14.966279,15.177072,14.818724,15.155993,cup_v3_bottom_staging,handle_prep,rolling_1m,2023-12-06,2024-06-06,2024-06-07,2024-06-18,2024-06-19,2024-06-19,2024-06-20,120,11.040373,10.813626,11.801242,2,26,6,0.685219,1.308836,6,2.418208,False,0.991206,0.876699,0.6,0.6,0.139082,2.418208,0.838775,0.630156,0.941176,0.909091,1.267606,1.209807,0.556328,14.960314,14.982445,1.448888,1.15834,1.654321,-0.038623,0.068107,0.084797,89.0,12.872841,3.876716,57.680598,建设银行
cup_v3_handle_prep,杯柄 V3 柄底预备,601998.SH,2023-01-13,0.546384,bottom_staging_handle_prep,8.529287,8.630425,8.394437,8.596712,cup_v3_bottom_staging,handle_prep,rolling_1m,2022-07-11,2023-01-03,2023-01-04,2023-01-12,2023-01-13,2023-01-13,,120,16.287703,13.453648,18.097448,3,33,15,1.556265,1.306165,6,2.208835,True,0.800019,0.868518,0.6,0.6,0.196078,2.208835,0.797981,0.777877,1.090909,0.714286,0.591716,,,8.460164,8.421574,1.414772,2.079639,,-0.231603,-0.429715,,86.0,15.858989,9.778474,58.977407,中信银行
