strategy_id,strategy_name,symbol,name,entry_type,signal_date,entry_date,exit_date,score,entry_price,exit_price,stop_price,hold_days,return_pct,max_favorable_excursion_pct,max_adverse_excursion_pct,exit_reason,signal_close,signal_low
cup_v1_legacy_mcst_1m,杯柄 V1 旧版复原+MCST 1月,000541.SZ,佛山照明,legacy_confirmed_cup,2023-10-23,2023-10-24,2023-11-02,0.731121,7.36,7.29,6.7712,8,-0.9510869565217406,24.184782608695656,-6.114130434782606,trend_exit_ma10,7.26,5.15
cup_v1_legacy_mcst_1m,杯柄 V1 旧版复原+MCST 1月,002380.SZ,科远智慧,legacy_confirmed_cup,2023-07-07,2023-07-10,2023-07-17,0.58475,23.99,23.29,22.0708,6,-2.917882451021258,9.128803668195085,-3.876615256356819,trend_exit_ma10,23.77,18.36
cup_v1_legacy_mcst_1m,杯柄 V1 旧版复原+MCST 1月,688523.SH,航天环宇,legacy_confirmed_cup,2025-08-28,2025-08-29,2025-09-02,0.787225,27.29,25.1068,25.1068,3,-7.9999999999999964,0.0732869182850759,-12.202271894466833,stop_loss,27.31,22.0
