strategy_id,strategy_name,symbol,signal_date,score,entry_type,signal_open,signal_high,signal_low,signal_close,symmetry_score,cup_depth_pct,handle_depth_pct,handle_days,cup_days,rim_gap_pct,breakout_ratio_pct,volume_ratio_20,cup_depth_fit_score,handle_quality_score,breakout_confirm_score,name
cup_v1_strict_breakout,杯柄 V1 严格突破,000009.SZ,2023-12-28,0.556376,cup_breakout,11.61,11.83,11.47,11.77,0.464789,18.14346,2.631579,15,103,0.590717,-0.675105,0.998144,0.767932,0.736122,0.25666,中国宝安
cup_v1_strict_breakout,杯柄 V1 严格突破,000009.SZ,2025-07-02,0.653056,cup_breakout,9.1,9.19,8.69,9.13,0.8125,20.765027,2.13964,5,115,2.95082,-0.218579,0.892654,0.904372,0.616792,0.278562,中国宝安
cup_v1_strict_breakout,杯柄 V1 严格突破,000009.SZ,2025-07-22,0.69725,cup_breakout,8.79,8.99,8.67,8.97,0.716981,19.265033,2.802691,16,90,0.668151,-0.111359,1.458492,0.908129,0.683314,0.480577,中国宝安
cup_v1_strict_breakout,杯柄 V1 严格突破,000009.SZ,2025-08-01,0.610371,cup_breakout,9.08,9.18,8.67,9.13,0.678571,20.591457,5.038335,5,93,1.642935,0.0,0.973345,0.926068,0.504065,0.332782,中国宝安
cup_v1_strict_breakout,杯柄 V1 严格突破,000009.SZ,2025-08-13,0.63336,cup_breakout,9.21,9.22,8.67,9.12,0.571429,20.591457,5.038335,13,87,3.3954,-0.109529,0.919397,0.926068,0.734834,0.301108,中国宝安
cup_v1_strict_breakout,杯柄 V1 严格突破,000010.SZ,2023-01-06,0.644234,cup_breakout,3.66,3.94,3.6,3.88,0.833333,22.739018,6.976744,18,98,1.033592,0.258398,2.330016,0.657623,0.428682,0.6573,美丽生态
cup_v1_strict_breakout,杯柄 V1 严格突破,000011.SZ,2023-08-29,0.612086,cup_breakout,10.54,11.7,9.7,11.7,0.224719,20.564872,10.43398,5,108,4.413063,3.265666,2.866931,0.929391,0.294234,1.0,深物业A
cup_v1_strict_breakout,杯柄 V1 严格突破,000011.SZ,2024-08-09,0.523581,cup_breakout,8.12,9.39,7.58,9.39,0.116667,16.608595,7.673569,5,66,4.645761,9.059233,6.128763,0.576074,0.401583,1.0,深物业A
cup_v1_strict_breakout,杯柄 V1 严格突破,000011.SZ,2024-11-07,0.554851,cup_breakout,9.69,10.55,8.37,10.47,0.938776,26.88391,14.765784,10,94,3.360489,6.619145,1.203714,0.139511,0.356544,0.784571,深物业A
cup_v1_strict_breakout,杯柄 V1 严格突破,000011.SZ,2025-07-08,0.672361,cup_breakout,8.56,8.78,8.07,8.76,0.880952,18.171429,7.771429,5,78,1.828571,0.114286,2.288487,0.771429,0.397778,0.639286,深物业A
cup_v1_strict_breakout,杯柄 V1 严格突破,000011.SZ,2025-07-22,0.672442,cup_breakout,8.74,8.83,8.07,8.77,0.880952,18.171429,7.771429,11,78,1.828571,0.228571,0.977342,0.771429,0.674701,0.362685,深物业A
cup_v1_strict_breakout,杯柄 V1 严格突破,000012.SZ,2024-05-17,0.452977,cup_breakout,5.75,5.86,5.22,5.85,0.75,12.435233,9.84456,5,34,1.554404,1.036269,1.657441,0.054404,0.317156,0.690347,南玻Ａ
cup_v1_strict_breakout,杯柄 V1 严格突破,000014.SZ,2022-11-29,0.626814,cup_breakout,10.59,10.59,8.85,10.59,0.121212,21.263158,4.013015,5,110,2.947368,11.473684,2.516094,0.842105,0.543938,1.0,沙河股份
cup_v1_strict_breakout,杯柄 V1 严格突破,000014.SZ,2023-06-06,0.648703,cup_breakout,10.45,11.47,9.79,11.47,0.241379,21.004566,10.430009,14,71,0.182648,4.748858,3.363828,0.874429,0.479004,1.0,沙河股份
cup_v1_strict_breakout,杯柄 V1 严格突破,000014.SZ,2023-06-16,0.653354,cup_breakout,12.18,13.03,11.27,12.57,0.482759,24.585876,1.743679,8,85,4.533566,9.590235,1.649721,0.426765,0.770652,0.93324,沙河股份
cup_v1_strict_breakout,杯柄 V1 严格突破,000014.SZ,2024-03-27,0.574411,cup_breakout,12.15,13.0,11.52,12.56,0.37037,18.815052,6.871463,5,73,0.960769,0.560448,1.692676,0.851882,0.432776,0.642615,沙河股份
cup_v1_strict_breakout,杯柄 V1 严格突破,000016.SZ,2025-02-26,0.504387,cup_breakout,5.33,5.7,4.72,5.56,0.105263,16.446125,7.632094,7,62,3.402647,5.10397,1.433043,0.555766,0.495504,0.861014,深康佳Ａ
cup_v1_strict_breakout,杯柄 V1 严格突破,000017.SZ,2024-01-11,0.738177,cup_breakout,5.95,5.95,4.44,5.95,0.963636,17.400419,2.844639,5,107,4.192872,24.737945,1.023931,0.675052,0.589375,0.724644,深中华A
cup_v1_strict_breakout,杯柄 V1 严格突破,000017.SZ,2024-01-22,0.964149,cup_breakout,10.98,11.61,5.13,11.61,0.982143,19.918699,-4.268293,9,110,3.04878,135.97561,2.093609,0.989837,0.884615,1.0,深中华A
cup_v1_strict_breakout,杯柄 V1 严格突破,000017.SZ,2025-09-09,0.46458,cup_breakout,6.87,7.5,6.3,7.5,0.326087,12.375533,7.894737,7,60,2.702703,6.685633,2.350573,0.046942,0.48529,1.0,深中华A
cup_v1_strict_breakout,杯柄 V1 严格突破,000017.SZ,2025-11-19,0.601369,cup_breakout,6.98,7.63,6.42,7.63,0.690476,17.866667,14.4,5,70,2.933333,1.733333,3.100589,0.733333,0.14,0.841667,深中华A
cup_v1_strict_breakout,杯柄 V1 严格突破,000019.SZ,2023-02-23,0.72468,cup_breakout,8.3,8.8,7.22,8.8,0.707317,19.311193,10.864198,5,69,0.369004,8.241082,4.889851,0.913899,0.277503,1.0,深粮控股
cup_v1_strict_breakout,杯柄 V1 严格突破,000019.SZ,2023-03-06,0.793613,cup_breakout,8.27,8.48,7.22,8.46,0.878788,19.311193,10.864198,8,61,0.369004,4.059041,1.747404,0.913899,0.415965,0.965801,深粮控股
cup_v1_strict_breakout,杯柄 V1 严格突破,000019.SZ,2024-11-06,0.535973,cup_breakout,6.79,6.97,6.59,6.97,0.282353,21.060172,5.587393,5,108,2.86533,-0.143266,1.562772,0.867479,0.482713,0.511349,深粮控股
cup_v1_strict_breakout,杯柄 V1 严格突破,000020.SZ,2023-03-29,0.52048,cup_breakout,10.7,10.93,9.52,10.8,0.5,16.239316,9.591643,16,56,4.083571,2.564103,0.911577,0.529915,0.419299,0.632705,深华发Ａ
cup_v1_strict_breakout,杯柄 V1 严格突破,000020.SZ,2023-05-26,0.505756,cup_breakout,10.74,10.98,10.49,10.87,0.313725,13.825758,0.662879,5,66,2.083333,2.935606,1.294724,0.22822,0.674221,0.806859,深华发Ａ
cup_v1_strict_breakout,杯柄 V1 严格突破,000020.SZ,2023-06-05,0.563476,cup_breakout,11.08,11.2,10.66,11.14,0.428571,16.283349,1.931923,6,69,4.691812,2.483901,0.900214,0.535419,0.671024,0.618892,深华发Ａ
cup_v1_strict_breakout,杯柄 V1 严格突破,000020.SZ,2023-06-15,0.629485,cup_breakout,11.1,11.38,10.66,11.08,0.564103,17.272727,3.090909,12,60,4.272727,0.727273,1.016347,0.659091,0.856721,0.438025,深华发Ａ
cup_v1_strict_breakout,杯柄 V1 严格突破,000020.SZ,2023-06-26,0.667579,cup_breakout,11.02,11.96,10.66,11.96,0.564103,17.272727,3.090909,17,60,4.272727,8.727273,1.313514,0.659091,0.625952,0.821171,深华发Ａ
cup_v1_strict_breakout,杯柄 V1 严格突破,000020.SZ,2025-09-25,0.557072,cup_breakout,13.96,15.36,12.8,15.36,0.961538,13.78628,11.479945,5,50,4.617414,1.319261,3.274919,0.223285,0.253558,0.789908,深华发Ａ
cup_v1_strict_breakout,杯柄 V1 严格突破,000021.SZ,2022-11-17,0.542942,cup_breakout,11.8,12.27,11.32,12.23,0.384615,17.075163,4.149026,5,71,3.513072,-0.081699,1.847956,0.634395,0.538649,0.614106,深科技
cup_v1_strict_breakout,杯柄 V1 严格突破,000021.SZ,2023-03-01,0.720926,cup_breakout,12.46,13.07,10.49,12.91,0.8,18.604651,14.922952,15,53,1.122694,3.528468,2.056032,0.825581,0.258125,1.0,深科技
cup_v1_strict_breakout,杯柄 V1 严格突破,000021.SZ,2023-03-13,0.723125,cup_breakout,12.78,13.06,12.15,13.05,0.787879,18.619085,5.740884,9,58,4.344453,1.241272,1.357151,0.827386,0.661359,0.615876,深科技
cup_v1_strict_breakout,杯柄 V1 严格突破,000021.SZ,2023-03-23,0.78454,cup_breakout,13.43,14.36,12.15,14.19,0.787879,18.619085,5.740884,17,58,4.344453,10.085337,2.601194,0.827386,0.522897,1.0,深科技
cup_v1_strict_breakout,杯柄 V1 严格突破,000021.SZ,2024-10-25,0.545093,cup_breakout,17.95,18.99,15.4,18.99,0.388889,26.61827,6.836056,14,74,1.330913,14.882033,2.118349,0.172716,0.618769,1.0,深科技
cup_v1_strict_breakout,杯柄 V1 严格突破,000021.SZ,2025-02-10,0.486134,cup_breakout,20.13,20.63,19.1,20.53,0.207547,14.753273,3.826788,5,63,4.380665,3.373615,1.374946,0.344159,0.55118,0.841649,深科技
cup_v1_strict_breakout,杯柄 V1 严格突破,000021.SZ,2025-08-25,0.470413,cup_breakout,21.88,21.88,20.1,21.1,0.288889,27.839536,-1.310484,5,115,4.108265,1.981634,2.421989,0.020058,0.7,0.872704,深科技
cup_v1_strict_breakout,杯柄 V1 严格突破,000021.SZ,2026-01-15,0.787176,cup_breakout,26.6,28.43,26.21,28.1,0.939394,19.303911,2.528821,5,63,3.516326,0.82526,1.749518,0.912989,0.601657,0.694664,深科技
cup_v1_strict_breakout,杯柄 V1 严格突破,000025.SZ,2022-04-06,0.479698,cup_breakout,14.8,15.35,13.64,15.13,0.088235,20.896506,6.060606,5,73,4.284773,-0.263678,1.508811,0.887937,0.46431,0.47831,特力Ａ
cup_v1_strict_breakout,杯柄 V1 严格突破,000025.SZ,2024-01-25,0.529043,cup_breakout,17.5,18.63,14.93,18.19,0.27451,17.348703,13.549508,5,64,0.461095,4.841499,2.91256,0.668588,0.173075,1.0,特力Ａ
cup_v1_strict_breakout,杯柄 V1 严格突破,000025.SZ,2024-10-25,0.76109,cup_breakout,17.25,18.01,15.3,18.01,0.631579,18.059126,1.670951,15,92,0.064267,15.745501,1.495734,0.757391,0.77348,0.881911,特力Ａ
cup_v1_strict_breakout,杯柄 V1 严格突破,000025.SZ,2025-11-26,0.47421,cup_breakout,18.88,20.96,18.81,20.96,0.138614,14.138817,3.290488,5,114,4.575835,7.763496,1.606515,0.267352,0.572037,0.918838,特力Ａ
cup_v1_strict_breakout,杯柄 V1 严格突破,000026.SZ,2022-12-01,0.824684,cup_breakout,10.61,11.48,10.04,11.48,0.794872,20.037106,4.924242,5,69,2.040816,6.493506,5.44022,0.995362,0.508502,1.0,飞亚达
cup_v1_strict_breakout,杯柄 V1 严格突破,000026.SZ,2025-02-27,0.572062,cup_breakout,10.45,11.19,10.26,11.13,0.333333,16.164384,2.471483,5,91,3.926941,1.643836,3.308334,0.520548,0.603887,0.830479,飞亚达
cup_v1_strict_breakout,杯柄 V1 严格突破,000026.SZ,2025-03-11,0.474915,cup_breakout,10.92,11.07,10.73,11.07,0.405797,17.520216,3.59389,5,96,1.617251,-0.539084,0.907948,0.690027,0.560238,0.243597,飞亚达
cup_v1_strict_breakout,杯柄 V1 严格突破,000026.SZ,2025-05-19,0.630711,cup_breakout,12.86,13.05,11.15,12.76,0.263158,22.633391,4.04475,6,95,0.774527,9.810671,2.178449,0.670826,0.588858,1.0,飞亚达
cup_v1_strict_breakout,杯柄 V1 严格突破,000026.SZ,2025-05-29,0.593586,cup_breakout,14.3,14.45,11.15,14.38,0.263158,22.633391,4.04475,14,95,0.774527,23.752151,0.989127,0.670826,0.72732,0.713042,飞亚达
cup_v1_strict_breakout,杯柄 V1 严格突破,000027.SZ,2023-03-15,0.490646,cup_breakout,6.27,6.36,5.95,6.36,0.644444,14.308176,6.446541,8,73,0.314465,0.0,1.300561,0.288522,0.587763,0.441854,深圳能源
cup_v1_strict_breakout,杯柄 V1 严格突破,000027.SZ,2024-03-08,0.460343,cup_breakout,6.58,6.79,6.5,6.79,0.252874,12.746586,1.365706,5,108,0.60698,3.034901,1.394853,0.093323,0.646889,0.848284,深圳能源
cup_v1_strict_breakout,杯柄 V1 严格突破,000027.SZ,2024-03-18,0.563983,cup_breakout,6.87,7.02,6.63,7.01,0.333333,15.441176,2.5,5,115,3.676471,3.088235,1.519025,0.430147,0.602778,0.889675,深圳能源
cup_v1_strict_breakout,杯柄 V1 严格突破,000027.SZ,2024-03-28,0.501355,cup_breakout,6.84,7.0,6.58,6.93,0.341772,12.878788,0.30303,15,105,3.333333,5.0,1.03137,0.109848,0.826677,0.727123,深圳能源
cup_v1_strict_breakout,杯柄 V1 严格突破,000027.SZ,2025-07-07,0.488872,cup_breakout,6.54,6.6,6.24,6.59,0.727273,12.139605,5.311077,16,37,3.641882,0.0,2.367272,0.017451,0.585766,0.625,深圳能源
cup_v1_strict_breakout,杯柄 V1 严格突破,000027.SZ,2025-07-22,0.481284,cup_breakout,6.7,6.76,6.24,6.75,0.409091,12.139605,5.311077,11,30,1.365706,2.427921,1.249173,0.017451,0.770381,0.728214,深圳能源
cup_v1_strict_breakout,杯柄 V1 严格突破,000027.SZ,2025-08-15,0.510283,cup_breakout,6.66,6.9,6.49,6.9,0.134328,14.349112,3.994083,14,75,3.846154,2.071006,2.205403,0.293639,0.72929,0.883876,深圳能源
cup_v1_strict_breakout,杯柄 V1 严格突破,000028.SZ,2022-11-10,0.505227,cup_breakout,31.67,32.78,30.88,32.39,0.526316,14.183068,3.530147,8,86,3.030303,1.187129,1.09142,0.272883,0.701178,0.520531,国药一致
cup_v1_strict_breakout,杯柄 V1 严格突破,000028.SZ,2022-11-21,0.568183,cup_breakout,35.51,35.7,31.66,35.33,0.447761,15.189873,2.253782,6,96,4.167953,9.076876,1.153191,0.398734,0.658507,0.76773,国药一致
cup_v1_strict_breakout,杯柄 V1 严格突破,000028.SZ,2022-12-01,0.601096,cup_breakout,36.5,36.6,31.66,35.51,0.447761,15.189873,2.253782,14,96,4.167953,9.632603,1.132765,0.398734,0.796968,0.760922,国药一致
cup_v1_strict_breakout,杯柄 V1 严格突破,000028.SZ,2023-02-28,0.560416,cup_breakout,36.82,37.82,36.52,37.69,0.885714,12.74006,1.217203,5,65,4.706519,1.947525,1.077017,0.092507,0.652664,0.61078,国药一致
cup_v1_strict_breakout,杯柄 V1 严格突破,000028.SZ,2023-03-16,0.737035,cup_breakout,43.98,46.51,37.51,46.51,0.682927,15.060558,1.237493,10,68,4.923644,22.459189,2.429492,0.38257,0.882644,1.0,国药一致
cup_v1_strict_breakout,杯柄 V1 严格突破,000028.SZ,2024-02-22,0.487368,cup_breakout,31.91,32.56,30.4,32.56,0.115385,20.281432,2.407705,5,115,4.710921,-0.397675,0.912822,0.964821,0.606367,0.262898,国药一致
