strategy_id,strategy_name,symbol,name,entry_type,signal_date,entry_date,exit_date,score,entry_price,exit_price,stop_price,hold_days,return_pct,max_favorable_excursion_pct,max_adverse_excursion_pct,exit_reason,signal_close,signal_low
cup_v1_strict_breakout,杯柄 V1 严格突破,688526.SH,科前生物,cup_breakout,2023-02-10,2023-02-13,2023-02-20,0.533088,31.03,29.1682,29.1682,6,-6.000000000000005,1.4824363519174932,-7.315501127940704,stop_loss,30.97,27.2
cup_v1_strict_breakout,杯柄 V1 严格突破,688526.SH,科前生物,cup_breakout,2023-02-28,2023-03-01,2023-03-02,0.527186,31.21,29.3374,29.3374,2,-6.000000000000005,0.4485741749439276,-6.984940724126886,stop_loss,31.3,27.2
cup_v1_strict_breakout,杯柄 V1 严格突破,688526.SH,科前生物,cup_breakout,2025-04-01,2025-04-02,2025-04-07,0.650885,16.15,15.180999999999996,15.180999999999996,3,-6.000000000000005,2.1671826625387025,-10.897832817337449,stop_loss,16.15,14.94
cup_v1_strict_breakout,杯柄 V1 严格突破,688526.SH,科前生物,cup_breakout,2025-04-11,2025-04-14,2025-04-16,0.714808,15.95,14.993,14.993,3,-6.000000000000005,1.3166144200627006,-6.6457680250783575,stop_loss,16.01,14.39
cup_v1_strict_breakout,杯柄 V1 严格突破,688526.SH,科前生物,cup_breakout,2025-04-29,2025-04-30,2025-05-23,0.662115,16.62,16.89,15.6228,15,1.6245487364620947,11.672683513838743,-4.632972322503015,max_hold,16.63,14.39
cup_v1_strict_breakout,杯柄 V1 严格突破,688526.SH,科前生物,cup_breakout,2025-05-13,2025-05-14,2025-06-04,0.578456,17.01,17.5,15.9894,15,2.8806584362139898,9.112286890064649,-3.23339212228102,max_hold,16.97,14.39
cup_v1_strict_breakout,杯柄 V1 严格突破,688526.SH,科前生物,cup_breakout,2025-08-11,2025-08-12,2025-09-01,0.457446,17.28,18.3,16.2432,15,5.902777777777768,17.997685185185187,-3.356481481481488,max_hold,17.3,16.61
cup_v1_strict_breakout,杯柄 V1 严格突破,688526.SH,科前生物,cup_breakout,2025-08-22,2025-08-25,2025-09-12,0.609214,17.67,18.55,16.6098,15,4.9801924165251865,15.393322014714194,-1.7543859649122973,max_hold,17.63,16.61
cup_v1_strict_breakout,杯柄 V1 严格突破,688528.SH,秦川物联,cup_breakout,2023-02-09,2023-02-10,2023-03-02,0.73385,11.29,11.38,10.6126,15,0.7971656333038313,5.668733392382652,-2.5686448184233712,max_hold,11.25,9.95
cup_v1_strict_breakout,杯柄 V1 严格突破,688528.SH,秦川物联,cup_breakout,2023-02-22,2023-02-23,2023-03-08,0.743765,11.68,10.9792,10.9792,10,-6.000000000000005,1.8835616438356293,-7.277397260273966,stop_loss,11.54,9.95
cup_v1_strict_breakout,杯柄 V1 严格突破,688528.SH,秦川物联,cup_breakout,2023-11-20,2023-11-21,2023-12-11,0.590389,11.21,10.89,10.5374,15,-2.8545941123996443,2.140945584299714,-4.460303300624446,max_hold,11.24,10.91
cup_v1_strict_breakout,杯柄 V1 严格突破,688528.SH,秦川物联,cup_breakout,2023-11-30,2023-12-01,2023-12-18,0.653882,11.33,10.6502,10.6502,12,-6.000000000000005,0.1765225066195919,-6.178287731685783,stop_loss,11.3,10.87
cup_v1_strict_breakout,杯柄 V1 严格突破,688528.SH,秦川物联,cup_breakout,2024-01-02,2024-01-03,2024-01-17,0.483008,11.33,10.6502,10.6502,11,-6.000000000000005,1.2356575463371655,-6.178287731685783,stop_loss,11.33,10.34
cup_v1_strict_breakout,杯柄 V1 严格突破,688528.SH,秦川物联,cup_breakout,2025-06-18,2025-06-19,2025-07-09,0.54332,9.87,12.55,9.2778,15,27.15298885511652,27.15298885511652,-5.4711246200607855,max_hold,9.83,9.35
cup_v1_strict_breakout,杯柄 V1 严格突破,688528.SH,秦川物联,cup_breakout,2025-06-30,2025-07-01,2025-07-21,0.591064,10.38,11.22,9.7572,15,8.092485549132956,31.021194605009622,-4.046242774566478,max_hold,10.36,9.33
cup_v1_strict_breakout,杯柄 V1 严格突破,688529.SH,豪森智能,cup_breakout,2023-07-12,2023-07-13,2023-08-02,0.634792,26.36,26.38,24.7784,15,0.0758725341426291,10.773899848254942,-5.38694992412746,max_hold,26.66,25.15
cup_v1_strict_breakout,杯柄 V1 严格突破,688529.SH,豪森智能,cup_breakout,2023-07-24,2023-07-25,2023-08-11,0.733017,27.13,25.5022,25.5022,14,-6.000000000000005,7.629929966826388,-6.413564319941023,stop_loss,27.14,24.94
cup_v1_strict_breakout,杯柄 V1 严格突破,688530.SH,欧莱新材,cup_breakout,2026-01-23,2026-01-26,2026-01-27,0.684868,19.5,18.33,18.33,2,-6.000000000000005,0.4102564102564043,-7.333333333333336,stop_loss,19.69,17.97
cup_v1_strict_breakout,杯柄 V1 严格突破,688530.SH,欧莱新材,cup_breakout,2026-02-03,2026-02-04,2026-02-13,0.786002,24.6,32.47,23.124,8,31.99186991869918,41.99186991869919,-4.918699186991871,end_of_data,24.4,18.07
cup_v1_strict_breakout,杯柄 V1 严格突破,688531.SH,日联科技,cup_breakout,2026-01-14,2026-01-15,2026-02-04,0.506764,73.79,71.44,69.3626,15,-3.1847133757961887,8.415774495189044,-5.461444640195145,max_hold,73.69,65.25
cup_v1_strict_breakout,杯柄 V1 严格突破,688533.SH,上声电子,cup_breakout,2026-01-16,2026-01-19,2026-02-06,0.594814,31.09,32.29,29.2246,15,3.8597619813444783,10.260533933740756,-0.3216468317787102,max_hold,31.11,29.8
cup_v1_strict_breakout,杯柄 V1 严格突破,688533.SH,上声电子,cup_breakout,2026-01-26,2026-01-27,2026-02-13,0.752525,32.7,34.15,30.738,14,4.434250764525971,6.391437308868486,-3.883792048929669,end_of_data,32.81,31.33
cup_v1_strict_breakout,杯柄 V1 严格突破,688535.SH,华海诚科,cup_breakout,2025-12-12,2025-12-15,2026-01-06,0.549026,105.0,119.0,98.7,15,13.33333333333333,16.742857142857147,-5.714285714285716,max_hold,107.35,94.36
cup_v1_strict_breakout,杯柄 V1 严格突破,688535.SH,华海诚科,cup_breakout,2026-01-16,2026-01-19,2026-02-05,0.554867,127.01,117.7,119.3894,14,-7.33013148570979,13.723328871742368,-9.353594205180704,gap_stop,125.75,109.51
cup_v1_strict_breakout,杯柄 V1 严格突破,688536.SH,思瑞浦,cup_breakout,2026-01-07,2026-01-08,2026-01-28,0.670722,172.23,209.07,161.8962,15,21.39000174185681,26.38913081344714,-4.482378215177373,max_hold,174.99,158.18
cup_v1_strict_breakout,杯柄 V1 严格突破,688536.SH,思瑞浦,cup_breakout,2026-01-20,2026-01-21,2026-02-10,0.707737,175.01,180.63,164.50939999999997,15,3.2112450717102003,25.39283469516027,0.0,max_hold,177.13,160.65
cup_v1_strict_breakout,杯柄 V1 严格突破,688538.SH,和辉光电-U,cup_breakout,2025-07-11,2025-07-14,2025-08-01,0.608197,2.42,2.57,2.2748,15,6.198347107438007,8.677685950413228,-1.652892561983477,max_hold,2.41,2.27
cup_v1_strict_breakout,杯柄 V1 严格突破,688538.SH,和辉光电-U,cup_breakout,2025-07-21,2025-07-22,2025-08-11,0.701425,2.45,2.66,2.303,15,8.571428571428562,9.387755102040815,-0.8163265306122436,max_hold,2.45,2.27
cup_v1_strict_breakout,杯柄 V1 严格突破,688538.SH,和辉光电-U,cup_breakout,2025-07-31,2025-08-01,2025-08-21,0.792948,2.54,2.67,2.3876,15,5.118110236220463,5.905511811023612,-0.7874015748031482,max_hold,2.56,2.27
cup_v1_strict_breakout,杯柄 V1 严格突破,688538.SH,和辉光电-U,cup_breakout,2025-08-11,2025-08-12,2025-09-01,0.728157,2.66,2.86,2.5004,15,7.518796992481191,9.022556390977442,-4.511278195488721,max_hold,2.66,2.38
cup_v1_strict_breakout,杯柄 V1 严格突破,688539.SH,高华科技,cup_breakout,2023-06-28,2023-06-29,2023-07-14,0.638432,44.89,42.1966,42.1966,12,-6.000000000000005,3.965248384940967,-7.885943417242148,stop_loss,45.6,41.31
cup_v1_strict_breakout,杯柄 V1 严格突破,688539.SH,高华科技,cup_breakout,2024-01-11,2024-01-12,2024-01-18,0.610445,44.4,41.736,41.736,5,-6.000000000000005,1.5765765765765938,-9.076576576576578,stop_loss,44.6,40.76
cup_v1_strict_breakout,杯柄 V1 严格突破,688539.SH,高华科技,cup_breakout,2025-03-10,2025-03-11,2025-03-24,0.594752,28.89,27.1566,27.1566,10,-6.000000000000005,6.092073381793006,-9.657320872274145,stop_loss,29.52,25.66
cup_v1_strict_breakout,杯柄 V1 严格突破,688543.SH,国科军工,cup_breakout,2025-12-26,2025-12-29,2026-01-20,0.569713,60.37,68.9,56.74779999999999,15,14.129534537021703,44.276958754348186,-2.3852907073049545,max_hold,60.09,53.37
cup_v1_strict_breakout,杯柄 V1 严格突破,688543.SH,国科军工,cup_breakout,2026-01-05,2026-01-06,2026-01-26,0.622308,62.0,69.08,58.28,15,11.419354838709683,40.48387096774193,-3.516129032258064,max_hold,62.18,53.37
cup_v1_strict_breakout,杯柄 V1 严格突破,688545.SH,兴福电子,cup_breakout,2025-08-11,2025-08-12,2025-09-01,0.560574,30.71,34.33,28.8674,15,11.78769130576358,18.33279062194726,-1.6606968414197398,max_hold,30.9,29.4
cup_v1_strict_breakout,杯柄 V1 严格突破,688545.SH,兴福电子,cup_breakout,2025-08-22,2025-08-25,2025-09-03,0.697507,34.88,32.7872,32.7872,8,-6.000000000000016,4.185779816513757,-7.282110091743121,stop_loss,34.76,29.71
cup_v1_strict_breakout,杯柄 V1 严格突破,688545.SH,兴福电子,cup_breakout,2026-01-21,2026-01-22,2026-02-11,0.613234,48.58,57.88,45.6652,15,19.143680526965845,24.66035405516673,-4.281597365170853,max_hold,48.53,36.25
cup_v1_strict_breakout,杯柄 V1 严格突破,688548.SH,广钢气体,cup_breakout,2025-03-28,2025-03-31,2025-04-07,0.484599,11.37,10.6878,10.6878,5,-5.999999999999995,3.254177660510127,-8.267370272647312,stop_loss,11.37,10.2
cup_v1_strict_breakout,杯柄 V1 严格突破,688548.SH,广钢气体,cup_breakout,2025-09-15,2025-09-16,2025-10-14,0.523831,11.42,12.28,10.7348,15,7.53064798598948,14.273204903677762,-2.977232924693518,max_hold,11.41,10.32
cup_v1_strict_breakout,杯柄 V1 严格突破,688548.SH,广钢气体,cup_breakout,2025-09-25,2025-09-26,2025-10-24,0.552497,11.81,12.55,11.1014,15,6.265876375952595,10.499576629974603,-1.0160880609652925,max_hold,11.87,11.08
cup_v1_strict_breakout,杯柄 V1 严格突破,688548.SH,广钢气体,cup_breakout,2025-10-09,2025-10-10,2025-10-30,0.624568,12.43,13.04,11.6842,15,4.907481898632327,7.4014481094127005,-4.022526146419947,max_hold,12.65,11.28
cup_v1_strict_breakout,杯柄 V1 严格突破,688548.SH,广钢气体,cup_breakout,2025-10-21,2025-10-22,2025-11-11,0.645867,12.5,13.06,11.75,15,4.479999999999995,10.640000000000004,-3.760000000000008,max_hold,12.62,11.28
cup_v1_strict_breakout,杯柄 V1 严格突破,688549.SH,中巨芯-U,cup_breakout,2026-01-15,2026-01-16,2026-02-02,0.50954,10.45,9.823,9.823,12,-6.000000000000005,6.985645933014362,-12.822966507177036,stop_loss,10.31,9.75
cup_v1_strict_breakout,杯柄 V1 严格突破,688550.SH,瑞联新材,cup_breakout,2022-06-02,2022-06-06,2022-06-09,0.493495,108.0,101.52,101.52,4,-6.000000000000005,3.5092592592592675,-8.79629629629629,stop_loss,107.16,97.0
cup_v1_strict_breakout,杯柄 V1 严格突破,688550.SH,瑞联新材,cup_breakout,2022-06-13,2022-06-14,2022-06-17,0.56187,107.5,72.75,101.05,4,-32.325581395348834,0.6325581395348889,-33.13488372093024,gap_stop,108.79,97.0
cup_v1_strict_breakout,杯柄 V1 严格突破,688550.SH,瑞联新材,cup_breakout,2023-04-03,2023-04-04,2023-04-21,0.604732,56.17,50.96,52.7998,13,-9.275413922022436,6.462524479259391,-17.74968844578957,gap_stop,56.52,48.2
